,0x_L,0y_L,1x_L,1y_L,2x_L,2y_L,3x_L,3y_L,4x_L,4y_L,5x_L,5y_L,6x_L,6y_L,7x_L,7y_L,8x_L,8y_L,9x_L,9y_L,10x_L,10y_L,11x_L,11y_L,12x_L,12y_L,13x_L,13y_L,14x_L,14y_L,15x_L,15y_L,16x_L,16y_L,17x_L,17y_L,18x_L,18y_L,19x_L,19y_L,20x_L,20y_L,0x_R,0y_R,1x_R,1y_R,2x_R,2y_R,3x_R,3y_R,4x_R,4y_R,5x_R,5y_R,6x_R,6y_R,7x_R,7y_R,8x_R,8y_R,9x_R,9y_R,10x_R,10y_R,11x_R,11y_R,12x_R,12y_R,13x_R,13y_R,14x_R,14y_R,15x_R,15y_R,16x_R,16y_R,17x_R,17y_R,18x_R,18y_R,19x_R,19y_R,20x_R,20y_R,x_Body,y_Body
5,973.231911,710.313396,972.254025,694.553382,965.833225,691.043488,957.161098,695.388087,948.393745,702.579638,943.34911,707.583645,963.802975,726.276001,985.048897,733.459019,998.284492,737.16166,934.906792,723.425021,959.589935,740.376201,983.19017,744.832469,1000.443535,746.475586,931.904675,734.830644,949.14283,748.661896,971.730103,751.41883,987.206635,752.033407,932.347916,743.877573,921.264896,753.424347,915.817383,758.780998,910.523026,763.060783,894.330849,692.785047,920.828373,678.62159,944.939838,677.705016,966.809944,683.391785,986.209053,687.884251,944.483471,708.350733,977.689728,723.577063,995.3321,728.937098,1007.936028,732.053542,934.768066,726.084476,971.72493,741.266383,991.837372,744.718898,1005.006226,745.193672,925.921188,737.979347,960.06324,753.579341,978.726151,755.985112,990.75975,754.881212,918.326614,744.546281,944.409142,758.313189,959.1698,759.467366,969.13575,756.803157,963.800262,403.001637
6,977.361191,709.91066,978.135578,691.630265,971.958607,686.436574,962.322727,690.081367,953.135639,696.915088,944.365231,704.197055,962.986324,723.774232,984.548126,731.137018,997.948265,734.795372,934.69725,722.011122,958.008099,739.808974,982.307671,744.165713,1000.688667,745.55301,931.296444,735.043386,947.139381,749.305237,970.952179,751.75227,987.702965,752.191698,931.514408,745.24942,918.630455,754.273737,912.766743,759.037176,907.238159,762.869419,894.903259,692.723692,921.251163,678.757602,945.23568,677.826788,966.87664,683.438567,986.275612,687.938715,944.771736,708.31204,977.677483,723.498603,995.316696,728.916066,1007.932503,732.065312,934.989853,726.116598,971.796181,741.373359,991.955498,744.772052,1005.035591,745.153287,926.03413,738.019966,960.215687,753.659283,978.835579,755.842407,990.674149,754.572473,918.341721,744.593433,944.55899,758.397182,959.407013,759.241545,969.247101,756.286849,964.251389,402.987539
7,969.191071,714.254863,970.165901,695.466942,965.530472,689.403336,958.310989,692.140003,951.831551,698.85725,944.24144,706.246946,965.992104,723.988469,986.730011,731.953865,999.174728,736.42021,935.528698,723.169906,960.86301,740.484672,984.056625,745.177926,1001.156754,747.438448,931.952831,735.793703,950.301704,749.488796,973.085541,752.163095,988.745728,753.090981,931.942028,745.630692,921.309769,754.181852,915.665291,759.097098,910.172161,763.140947,895.028492,693.158465,921.286228,678.96144,945.211967,677.910485,966.89122,683.504516,986.280235,687.986658,944.749168,708.492944,977.686844,723.597935,995.356407,729.024117,1007.981483,732.149824,934.947224,726.316472,971.862076,741.483065,992.027046,744.765346,1005.079811,744.983572,925.999832,738.232363,960.338425,753.741893,978.88591,755.770122,990.578453,754.358964,918.330563,744.822873,944.705818,758.633328,959.503944,759.310187,969.221443,756.142329,964.539762,402.977362
8,969.646454,712.836641,971.284676,694.104444,966.792137,687.345898,959.493462,688.307241,952.780312,693.942991,944.11274,705.737752,965.260139,724.389044,986.464211,732.117429,999.208237,736.005902,935.104454,723.303114,959.956501,741.22375,983.750107,745.56142,1001.32283,746.668716,931.462704,736.13869,949.465233,750.062223,972.573486,752.443874,988.24498,752.531288,931.525749,745.919832,921.015965,754.930477,915.77433,759.955256,910.435753,763.461988,895.002903,693.389695,921.212276,679.104948,945.154335,678.05566,966.924202,683.60864,986.4543,687.971652,944.860039,708.668612,977.684761,723.650126,995.329628,729.085027,1007.959648,732.223825,935.026554,726.547925,971.874573,741.584854,992.017799,744.828208,1005.013275,745.012299,926.001823,738.469385,960.31485,753.878336,978.821983,755.828266,990.420067,754.324211,918.221466,745.039765,944.617138,758.838389,959.374798,759.404615,968.965668,756.116233,964.714033,402.967214
9,971.12439,711.159216,973.812092,691.851641,970.371426,685.219511,964.365978,686.892539,958.842876,692.555867,944.392788,703.836482,964.959183,723.532603,986.761734,732.0519,1000.545753,736.22703,934.010159,722.369312,958.559772,740.880257,983.357346,745.656541,1002.557739,746.317616,929.827675,736.012868,946.584721,750.485633,970.436829,752.931023,987.523567,752.85696,929.510422,746.4085,917.920578,755.599481,912.777168,760.041274,907.948826,762.743312,895.056587,693.505243,921.115162,679.19288,945.105228,678.164946,966.982269,683.728139,986.542465,688.097932,945.094334,708.967509,977.850883,723.823929,995.49099,729.217581,1008.058365,732.272966,935.272179,726.777896,972.114166,741.602083,992.159157,744.808757,1005.031288,744.992254,926.138958,738.611486,960.524643,753.81398,978.931068,755.69654,990.421463,754.172762,918.177967,745.12503,944.666199,758.882763,959.439159,759.371307,969.072762,756.064449,964.827147,402.95679
10,963.64888,715.846875,966.517822,695.472598,964.329884,687.492803,961.233238,688.138033,959.163448,693.796754,943.703785,705.475671,967.043449,723.14812,988.143654,732.205881,1001.225784,737.028538,934.742912,723.409399,960.854588,741.560475,984.768517,746.512117,1002.859406,747.798193,930.78804,736.821292,950.413605,750.669143,973.464729,753.155313,989.477943,753.194932,930.606182,747.016853,921.527378,755.55549,916.651268,760.160033,911.706161,762.817326,894.942432,693.313903,921.016296,679.038047,945.10976,678.165069,966.977669,683.834708,986.456177,688.187359,945.220425,708.864373,977.948868,723.809665,995.485542,729.207145,1008.006157,732.241387,935.353855,726.671401,972.069122,741.533886,991.969643,744.799729,1004.789108,745.015917,926.130398,738.489319,960.349903,753.747611,978.699806,755.748275,990.256508,754.309231,918.064808,744.985882,944.353329,758.828027,959.064011,759.394883,968.73674,756.157717,964.877735,402.950056
11,965.594261,713.745471,968.71843,694.402019,965.975018,686.626345,961.470497,686.314284,957.624996,691.418017,943.652859,705.874875,965.894737,724.814628,987.205399,733.568156,1000.504234,738.145715,934.352863,723.435074,959.904625,742.062049,984.010048,746.872295,1002.259735,747.664491,930.364002,736.225956,949.29427,750.85742,972.46431,753.065108,988.233925,752.592952,930.294468,745.94799,920.587463,754.970331,915.417458,760.133986,909.772327,763.386998,894.875404,693.211755,920.950882,678.927378,945.08971,678.143951,966.995499,683.928976,986.474442,688.350849,945.216534,709.009067,977.870178,723.924076,995.403648,729.260534,1007.906067,732.219182,935.341095,726.890615,972.114098,741.670959,991.998138,744.844325,1004.72493,744.951425,926.111881,738.708545,960.436832,753.902901,978.740776,755.800553,990.225746,754.26377,918.045708,745.192375,944.403271,758.961914,959.109592,759.421201,968.75235,756.118629,964.905344,402.943563
12,970.918167,711.858688,973.722485,692.386634,970.048851,685.334613,964.060467,686.935801,958.12524,692.795483,943.813694,704.123386,964.936409,723.711815,986.734268,732.385253,1000.52813,736.81014,933.593685,722.637506,958.699379,741.006018,983.516098,745.66936,1002.550369,746.066662,929.699535,736.197946,947.40295,750.529303,971.571602,752.700274,988.456009,752.237134,929.880363,746.651587,918.405041,755.382539,913.106461,759.858333,907.694801,762.616217,894.749794,693.061393,920.830765,678.827219,945.060814,678.083176,967.046928,683.885134,986.543701,688.253815,945.258167,709.009573,977.816643,724.066065,995.382912,729.426507,1007.979996,732.33915,935.310825,726.914809,972.029572,741.838142,991.891594,744.98708,1004.681671,744.984066,926.001411,738.773852,960.35582,754.083002,978.641075,755.938194,990.215286,754.317542,917.841591,745.30255,944.31324,759.143831,958.977757,759.583432,968.600853,756.265113,964.90963,402.937725
13,967.675713,711.027576,970.701176,691.173164,968.389618,684.292563,963.726002,685.901556,958.264812,691.218822,943.254616,704.547291,965.332603,724.23825,986.534134,732.655955,999.674171,736.818179,933.107758,722.970958,959.137058,741.656633,983.250389,746.052274,1001.764481,746.089139,928.888458,736.292585,947.677277,751.271814,971.247093,753.042853,987.377953,752.172012,928.785542,746.580228,917.954693,755.587711,912.675179,760.197639,907.169575,763.161325,894.59444,692.661769,920.697224,678.586825,944.854877,677.932431,966.800674,683.725916,986.23748,688.223668,944.99572,709.034001,977.601883,724.164112,995.208847,729.533063,1007.831635,732.42344,934.944592,726.992652,971.771484,742.063506,991.636597,745.171244,1004.382385,745.099577,925.588966,738.81993,960.06118,754.330176,978.374588,756.102759,989.893112,754.371574,917.432419,745.263981,943.931076,759.224922,958.61515,759.571502,968.132881,756.109749,964.902323,402.929852
14,966.361908,710.765273,967.482616,691.336099,965.197803,685.578824,961.128159,688.794551,954.980289,695.375008,942.828449,706.506928,965.488655,724.828472,986.555214,732.68846,999.487907,736.803446,933.282749,724.135398,959.390087,740.644149,982.851242,745.211777,1000.323967,745.603349,929.095596,736.908409,947.797279,750.208423,970.332298,752.143804,985.465141,751.637895,928.887943,747.207439,918.735592,755.667653,914.248283,760.147683,909.722729,763.175194,894.272552,692.222131,920.471615,678.277616,944.686226,677.656184,966.691635,683.438172,986.070213,688.00953,944.843376,708.985256,977.420883,724.214982,995.001091,729.62953,1007.673317,732.517943,934.659977,726.8919,971.366364,742.218982,991.183296,745.400412,1003.995094,745.319618,925.196022,738.646078,959.46682,754.517465,977.778419,756.392072,989.383415,754.61308,916.932587,744.994663,943.262135,759.228713,957.860825,759.698547,967.29071,756.206018,964.882645,402.928141
