,0x_L,0y_L,1x_L,1y_L,2x_L,2y_L,3x_L,3y_L,4x_L,4y_L,5x_L,5y_L,6x_L,6y_L,7x_L,7y_L,8x_L,8y_L,9x_L,9y_L,10x_L,10y_L,11x_L,11y_L,12x_L,12y_L,13x_L,13y_L,14x_L,14y_L,15x_L,15y_L,16x_L,16y_L,17x_L,17y_L,18x_L,18y_L,19x_L,19y_L,20x_L,20y_L,0x_R,0y_R,1x_R,1y_R,2x_R,2y_R,3x_R,3y_R,4x_R,4y_R,5x_R,5y_R,6x_R,6y_R,7x_R,7y_R,8x_R,8y_R,9x_R,9y_R,10x_R,10y_R,11x_R,11y_R,12x_R,12y_R,13x_R,13y_R,14x_R,14y_R,15x_R,15y_R,16x_R,16y_R,17x_R,17y_R,18x_R,18y_R,19x_R,19y_R,20x_R,20y_R,x_Body,y_Body
5,960.141426,713.272365,965.031841,697.249256,971.414291,692.827556,975.176765,695.89854,973.566845,700.20058,952.730759,719.529386,979.923637,736.271133,999.157906,743.475096,1010.54837,748.028213,942.883198,736.692863,974.137093,751.346026,996.081871,757.002734,1010.859421,758.311077,936.733166,747.65303,960.958912,759.784244,982.213898,761.923822,995.191132,762.311355,933.795433,756.204993,935.07011,766.815962,939.72773,769.92607,943.456123,771.13155,900.684643,698.452093,927.737274,686.04047,952.975193,685.794357,976.080254,691.398183,995.707809,694.205196,955.254215,718.319633,984.267105,735.832062,1000.779716,744.258585,1013.08683,749.943304,944.8297,734.554879,978.012634,750.992208,997.594139,758.831374,1011.057266,763.110603,933.894047,745.785352,965.288658,763.027981,983.783203,769.023094,996.921295,770.724232,923.447365,752.508416,947.500603,768.196454,962.459267,772.39216,974.385773,772.960584,970.084276,401.132402
6,956.28297,711.897257,961.539288,695.724775,969.133209,691.985911,974.534111,695.554245,973.582478,699.819852,951.317104,718.438478,978.487427,735.977275,998.158745,743.976522,1010.217384,749.068189,941.903606,735.683911,973.43161,751.668437,996.512856,757.617077,1012.699974,759.063691,935.89975,746.579154,960.92902,759.838301,983.243225,762.245949,997.385307,762.724886,933.11063,755.008023,935.225052,766.233544,940.245575,769.787218,944.289402,771.239638,901.612999,699.63943,927.815975,686.224857,952.700546,685.682305,976.030403,691.507431,995.370575,694.395609,955.643646,718.438886,985.281944,736.490779,1001.348602,744.515591,1013.052658,749.74979,945.185463,735.075015,979.385239,751.653926,998.682518,759.048143,1011.729721,762.751142,934.025986,746.52837,966.414139,763.887893,984.62471,769.502203,997.211906,770.681821,923.471706,753.435191,948.222954,769.223548,963.254539,773.061176,974.894051,773.008626,971.122931,400.598437
7,955.625782,708.568107,960.428307,693.951723,968.013954,691.431108,973.197052,695.968244,970.972195,701.61117,950.363811,717.885713,977.62104,735.242976,997.484413,743.368144,1009.838676,748.277364,941.30024,734.914229,972.781036,750.827026,996.738327,757.386908,1013.070465,759.100569,935.951809,745.519455,961.121098,759.163986,984.350098,761.937395,998.739738,762.404487,933.668781,753.597187,938.248901,765.493441,945.722717,768.632029,951.521164,769.44501,901.610687,699.852827,927.718884,686.078891,952.467075,685.571908,975.762611,691.312325,995.045746,694.169121,955.770081,718.514135,985.244247,736.615848,1001.137642,744.679575,1012.755707,749.876576,945.37793,735.284299,979.689285,751.83005,998.771576,759.186229,1011.688202,762.824156,934.248779,746.729948,966.717178,764.01705,984.869774,769.623123,997.402039,770.825749,923.710304,753.544958,948.588593,769.197045,963.560188,773.128644,975.04184,773.141007,971.626968,400.285548
8,958.74202,710.683293,964.155682,691.933126,971.393303,686.474649,975.784538,688.589477,973.686516,691.405482,951.0275,716.635996,976.873672,735.439095,996.646774,743.147214,1008.891907,747.942652,941.559219,735.206061,971.749718,751.814872,995.288063,757.728524,1012.629753,759.551989,935.559917,746.805419,959.31966,760.688555,982.149239,762.930329,996.925392,763.396434,932.803093,755.802813,932.46714,767.402232,935.661896,771.467003,938.36095,773.652152,901.387058,699.788384,927.431808,685.842819,952.281521,685.416927,975.511253,691.226961,994.658958,694.116386,955.649208,718.543725,985.26519,736.698828,1001.104225,744.785279,1012.543259,750.068089,945.157322,735.469835,979.729248,751.978745,998.774506,759.254117,1011.575203,762.933651,933.991413,746.910642,966.676277,764.094559,984.874214,769.622295,997.348206,770.893712,923.494137,753.545403,948.470238,769.022427,963.488297,772.9995,974.920647,773.110391,971.820024,400.099892
9,957.502625,712.951238,962.633354,694.075211,970.986053,688.142652,977.793503,690.143476,978.386696,693.658309,951.987373,717.310829,977.49234,735.183597,997.386429,743.366168,1010.19397,748.730056,942.206715,735.947239,971.499092,751.273543,994.72554,757.883517,1011.597702,760.001433,936.013252,747.904391,958.803246,760.097121,980.829163,763.193114,995.317955,764.040626,932.846031,757.255726,934.552299,768.053045,940.373554,771.030464,945.494545,771.626158,900.954952,699.560439,927.1432,685.623543,952.100601,685.249126,975.291069,691.119948,994.330559,694.085585,955.422192,718.57407,985.147911,736.636757,1000.98484,744.696433,1012.44278,750.00829,944.906296,735.582628,979.609612,752.061923,998.627151,759.284449,1011.47438,763.015273,933.760986,746.981309,966.494316,764.149875,984.719238,769.696062,997.289497,771.055584,923.291496,753.505006,948.341824,768.934532,963.388618,772.925177,974.85878,773.047986,971.845528,399.975215
10,960.900639,714.327951,965.850014,693.675217,972.576553,686.494953,976.94838,687.21227,976.344292,688.429692,951.79541,716.557499,976.761749,735.797309,996.361771,743.485618,1008.580788,748.383859,942.128643,735.943188,971.124573,752.428857,993.831551,758.055048,1011.533455,759.625299,935.746078,748.329975,958.593601,761.134417,980.619621,763.455269,995.60424,764.080505,932.452526,758.122146,930.928219,768.743488,933.003147,772.525108,935.179779,774.346844,900.567936,699.23021,926.913151,685.292141,951.989845,684.972534,975.167427,691.016936,994.178009,694.080052,955.262272,718.453743,985.086456,736.512268,1000.909126,744.531707,1012.384232,749.871303,944.760864,735.458855,979.548523,751.937607,998.528664,759.146943,1011.430618,762.937406,933.635857,746.816633,966.428856,764.008701,984.690971,769.645304,997.382607,771.144036,923.159065,753.300315,948.409573,768.718763,963.515442,772.728316,975.065689,772.903811,971.78175,399.879153
11,960.517662,716.502405,964.31258,695.787538,971.707008,688.708471,978.668747,689.965178,980.237869,692.237655,952.392872,717.279707,976.967056,735.138408,996.516289,743.326055,1009.338913,748.57216,942.832764,736.266069,970.9533,751.289883,993.648216,758.014799,1010.647064,760.389695,936.721802,748.904415,959.044762,760.025281,980.931358,763.339339,995.773911,764.491676,933.518394,758.979859,935.293224,768.907275,941.158779,771.532372,946.528404,771.947297,900.324108,698.820903,926.798824,684.987872,951.975941,684.718888,975.128632,690.828881,994.063087,694.080164,955.124519,718.364699,985.00042,736.476613,1000.861885,744.516665,1012.368027,749.838995,944.652237,735.296007,979.388351,751.893431,998.36776,759.134877,1011.327988,762.920239,933.567226,746.575584,966.321236,763.868676,984.607315,769.616849,997.4049,771.155163,923.124653,753.019376,948.397018,768.581702,963.529312,772.681633,975.196335,772.879185,971.688938,399.804938
12,959.921047,718.139384,964.072266,696.520639,971.989014,689.124656,979.936523,690.163298,983.616028,691.700994,953.538437,715.94922,977.466797,733.845156,996.375343,742.244583,1008.900787,748.016641,943.890392,734.7354,971.136108,750.423154,993.333778,757.593315,1010.830971,760.517765,937.499268,747.970526,959.541389,759.742192,980.709023,763.698727,995.982628,765.214946,934.079784,758.574986,936.558781,768.579096,942.180073,771.911408,947.757339,773.149034,900.009636,698.590735,926.49979,684.777489,951.847115,684.522484,975.059326,690.672245,993.939789,694.013325,954.816422,718.276124,984.823425,736.457705,1000.76841,744.460448,1012.337265,749.737107,944.384148,735.207087,979.194717,751.907313,998.247482,759.09963,1011.281113,762.823439,933.381134,746.488343,966.202309,763.866774,984.577927,769.595842,997.507278,771.090844,923.03064,752.94162,948.393963,768.534772,963.594337,772.600184,975.356712,772.778433,971.579,399.762707
13,958.099628,717.393673,962.628113,695.836456,971.358948,688.854053,980.325462,690.274325,984.359962,692.125318,952.624672,715.215242,976.57663,733.194443,995.613373,741.92978,1008.2146,747.953409,943.008591,733.963507,970.411446,750.366479,993.030052,757.75194,1010.739212,760.615035,936.635216,747.211638,959.201775,759.731571,980.900345,763.920732,996.424942,765.43195,933.287395,757.843515,936.081642,767.993814,941.916355,771.602804,947.487339,773.070772,899.932411,698.658253,926.547512,684.814304,951.860332,684.377136,975.025932,690.431468,993.866501,693.903014,954.539371,718.347421,984.758492,736.589555,1000.834648,744.50928,1012.505859,749.623449,944.111286,735.274604,979.070412,752.084783,998.160141,759.226614,1011.218582,762.85303,933.19487,746.556059,966.081253,764.010579,984.446823,769.733459,997.353516,771.153409,922.985058,753.055302,948.282372,768.727606,963.463554,772.768504,975.234192,772.851644,971.456715,399.733823
14,957.64016,715.425095,961.630943,694.502104,970.877678,688.445673,980.428436,690.813974,984.75769,693.401378,951.419632,715.09394,975.800217,733.183501,995.38472,741.831621,1008.521851,747.615535,941.783867,733.638256,969.483765,750.209917,992.823006,757.871995,1010.704033,760.967308,935.626236,746.795589,958.545033,759.736697,981.060539,763.991559,997.006668,765.491502,932.674507,757.255652,935.74736,767.806228,942.009796,771.795762,948.03566,773.61877,899.973701,698.868538,926.597591,684.906288,951.832123,684.312385,974.937904,690.244228,993.681862,693.66341,954.479485,718.391363,984.831276,736.58044,1000.961563,744.384099,1012.656715,749.294579,944.084873,735.331402,979.115776,752.193773,998.184586,759.31236,1011.212448,762.858007,933.224201,746.624911,966.112976,764.127645,984.444122,769.868297,997.306252,771.260003,923.092014,753.164724,948.303761,768.891837,963.438309,772.932797,975.158432,772.942788,971.317314,399.714736
