,vel_0x_L,vel_0y_L,vel_0x_R,vel_0y_R,posFromWrist_1x_L,posFromWrist_2x_L,posFromWrist_3x_L,posFromWrist_4x_L,posFromWrist_5x_L,posFromWrist_6x_L,posFromWrist_7x_L,posFromWrist_8x_L,posFromWrist_9x_L,posFromWrist_10x_L,posFromWrist_11x_L,posFromWrist_12x_L,posFromWrist_13x_L,posFromWrist_14x_L,posFromWrist_15x_L,posFromWrist_16x_L,posFromWrist_17x_L,posFromWrist_18x_L,posFromWrist_19x_L,posFromWrist_20x_L,posFromWrist_1y_L,posFromWrist_2y_L,posFromWrist_3y_L,posFromWrist_4y_L,posFromWrist_5y_L,posFromWrist_6y_L,posFromWrist_7y_L,posFromWrist_8y_L,posFromWrist_9y_L,posFromWrist_10y_L,posFromWrist_11y_L,posFromWrist_12y_L,posFromWrist_13y_L,posFromWrist_14y_L,posFromWrist_15y_L,posFromWrist_16y_L,posFromWrist_17y_L,posFromWrist_18y_L,posFromWrist_19y_L,posFromWrist_20y_L,posFromWrist_1x_R,posFromWrist_2x_R,posFromWrist_3x_R,posFromWrist_4x_R,posFromWrist_5x_R,posFromWrist_6x_R,posFromWrist_7x_R,posFromWrist_8x_R,posFromWrist_9x_R,posFromWrist_10x_R,posFromWrist_11x_R,posFromWrist_12x_R,posFromWrist_13x_R,posFromWrist_14x_R,posFromWrist_15x_R,posFromWrist_16x_R,posFromWrist_17x_R,posFromWrist_18x_R,posFromWrist_19x_R,posFromWrist_20x_R,posFromWrist_1y_R,posFromWrist_2y_R,posFromWrist_3y_R,posFromWrist_4y_R,posFromWrist_5y_R,posFromWrist_6y_R,posFromWrist_7y_R,posFromWrist_8y_R,posFromWrist_9y_R,posFromWrist_10y_R,posFromWrist_11y_R,posFromWrist_12y_R,posFromWrist_13y_R,posFromWrist_14y_R,posFromWrist_15y_R,posFromWrist_16y_R,posFromWrist_17y_R,posFromWrist_18y_R,posFromWrist_19y_R,posFromWrist_20y_R,posFromBody_0x_L,posFromBody_0y_L,posFromBody_0x_R,posFromBody_0y_R
2,34.994888,-7.735659,-0.330505,1.356039,-4.070549,-15.826492,-33.614731,-53.520985,-49.341831,-36.094208,-13.709793,-0.160446,-60.947399,-40.862732,-15.56797,2.913094,-65.386906,-55.383453,-30.995865,-12.967873,-66.052322,-84.076824,-90.298691,-93.658791,-6.436986,-0.956699,16.400662,32.910314,4.089545,25.568808,34.592396,40.376371,17.849018,35.262264,43.079002,45.860981,30.014158,44.35353,50.034198,53.54792,41.69925,49.919033,55.148181,61.593134,26.79657,50.744019,72.485104,91.109791,50.114765,80.863438,97.810307,109.898357,39.136791,73.138103,92.607365,104.931507,28.397083,60.301266,78.464985,90.471325,18.97316,42.924557,57.516003,69.598217,-12.142663,-10.497632,-1.628914,4.097202,16.016204,35.832961,45.228595,51.553443,32.505726,51.32651,60.273774,65.009846,44.415836,63.739455,70.75566,73.274212,51.79359,70.044357,75.242815,76.39199,31.748114,313.220675,-67.74333,297.671304
3,-22.246971,9.340367,0.978584,0.141717,5.386276,4.817162,2.630653,-1.232643,-26.78278,-3.469849,17.554779,28.27755,-40.314617,-14.826736,7.928238,23.174629,-45.420113,-29.802589,-7.688828,5.641937,-45.410213,-57.062416,-61.086388,-65.533047,-18.960093,-22.053233,-13.951085,-3.736517,-5.708702,15.932471,24.737709,29.083086,12.476115,32.070262,37.004552,37.112986,26.844818,41.495845,43.908248,44.367856,38.713803,45.440214,48.073745,51.32367,26.689339,50.089474,71.544628,90.11816,50.259075,80.468388,97.452679,109.611111,39.557076,73.086147,92.384777,104.607296,28.778172,60.191402,78.307056,90.302067,18.999825,42.782421,57.145271,68.769093,-12.176811,-10.801135,-2.250926,3.453701,16.072582,36.016422,45.431569,51.733939,32.325229,51.513305,60.428274,64.963348,44.132587,63.842454,70.741395,72.97497,51.554431,69.947964,75.125181,76.241752,9.529495,322.573732,-66.736393,297.82571
4,-16.916313,6.654533,-0.450325,0.300292,7.614212,11.88343,18.948555,25.785713,-9.485149,15.319862,34.114037,44.992676,-20.41626,6.734161,28.059196,44.292984,-26.217785,-4.445057,17.571602,32.886429,-27.319107,-32.518215,-31.655388,-30.022488,-19.615142,-29.799637,-31.432318,-28.092177,-11.659157,5.396616,16.310692,23.071868,6.089332,24.222402,32.194998,35.494693,19.58791,33.580121,39.19558,41.906547,30.619251,40.351795,45.413661,49.01229,26.743412,50.055027,71.286907,89.843845,49.321918,80.007992,97.4156,109.768238,38.667469,72.986012,92.895641,105.40884,28.293056,60.325298,78.940144,90.925426,19.096184,43.170033,57.847366,69.570751,-12.342858,-11.220112,-2.64582,3.442956,15.914254,36.245886,45.430025,51.348432,32.513321,51.546033,60.242837,64.692634,44.522479,64.044996,70.749979,73.011958,51.969147,70.160077,75.280668,76.143075,-7.363844,329.237636,-67.163744,298.135373
5,40.499725,-16.905534,0.282154,-0.552049,-4.727554,-16.34182,-34.573402,-54.368706,-51.809807,-41.505661,-17.408409,-1.955566,-62.635174,-45.417881,-19.182587,0.983734,-66.271477,-58.901711,-34.604645,-15.741806,-66.788578,-84.790707,-90.219212,-92.717743,-3.605668,1.981138,18.829183,35.09597,4.848087,26.635546,36.112752,41.477875,18.601509,35.096402,43.681871,46.837502,30.501369,44.331856,50.385743,53.765651,41.575132,49.675736,55.33405,62.428246,26.638699,50.120373,71.434937,89.833488,49.124451,79.507599,96.807632,109.063225,38.596344,72.505989,92.192001,104.523354,28.292542,59.96521,78.404503,90.380516,19.218292,43.369617,57.997684,69.417343,-12.313217,-10.958166,-2.346145,4.08516,16.37164,36.950088,46.544682,52.937578,32.750196,52.720773,61.748251,66.055836,44.591949,65.099199,72.124975,74.052144,51.86306,70.612522,75.705264,76.275838,33.155479,312.410185,-66.861992,297.661408
6,-17.897758,7.06542,-0.717602,0.022354,2.533836,-0.875473,-7.672234,-16.801071,-34.222927,-10.800819,10.682144,22.039261,-46.992016,-20.247459,3.414574,19.045486,-51.531086,-34.613514,-11.973381,2.535439,-51.302834,-61.674557,-64.19157,-65.822697,-15.973844,-14.526476,-1.594704,10.452924,-3.167796,19.707829,27.636212,31.941636,13.182972,33.17862,38.362629,40.571935,26.703286,42.636436,46.088223,49.064469,38.575112,47.550719,51.951301,58.546739,26.692028,50.541515,72.205982,90.943966,49.753876,80.060749,97.48209,110.183773,39.169407,73.086605,92.794132,105.327702,28.746014,60.527287,79.009151,91.073399,19.489517,43.71191,58.443203,70.02737,-12.115987,-10.744386,-2.077963,4.290048,16.391091,36.52506,45.878148,52.0451,32.928531,52.259497,61.080173,65.430057,44.936084,65.042882,71.960472,74.010092,52.399609,71.129065,76.113187,76.626457,15.292425,319.567073,-67.544889,297.77523
7,-16.338043,6.997618,0.082741,0.0494,7.251549,9.626427,10.651245,10.77301,-15.457993,7.52552,25.215111,34.831696,-26.792736,-0.369987,20.484238,35.481834,-32.914925,-11.34304,9.796371,24.289742,-34.957352,-37.192669,-33.93774,-30.486031,-15.035731,-19.771432,-17.416395,-13.485117,-6.688496,12.576336,23.186477,30.19342,7.587397,26.406205,34.935234,39.44042,18.819241,34.641611,40.993505,44.774915,28.470213,39.835129,45.670852,50.98608,27.159061,50.943718,72.573795,91.303196,49.420052,79.884853,97.187176,109.640293,38.877926,73.164768,92.790928,104.958286,28.737087,61.002445,79.258289,90.912838,19.869118,44.178143,58.650398,69.883404,-11.791673,-10.695295,-2.396966,3.854646,15.153983,35.808385,45.807567,52.522245,31.823692,52.13013,61.456789,65.751406,44.229535,64.753582,71.880876,73.720915,52.193239,70.954002,76.129119,76.719391,-0.951347,326.64313,-67.367878,297.903068
8,36.951942,-15.286685,-0.094757,0.056378,-6.306839,-19.062195,-38.247185,-59.853516,-56.416283,-49.006176,-23.991394,-7.59407,-66.044483,-50.746708,-22.353859,-0.217781,-68.642864,-62.253284,-36.329155,-15.71846,-68.780937,-87.269726,-94.406433,-98.998718,0.74508,7.829767,26.079545,42.600189,5.565626,27.489678,38.161261,44.938492,17.869149,34.373861,44.579722,49.295601,28.946247,43.250915,50.667325,55.393022,39.354526,47.293344,53.329385,61.70132,27.010918,50.514908,72.058811,90.608425,49.592514,79.964962,97.414455,110.040493,39.28791,73.216152,93.16618,105.785809,29.089451,60.979443,79.465656,91.432056,19.955578,44.086189,58.663158,70.169735,-11.755549,-10.784771,-2.388629,3.781286,15.704735,35.795355,45.279663,51.491446,32.318745,51.85639,61.085422,65.760916,44.596642,64.465084,71.518277,73.651569,52.456234,70.808271,75.903359,76.641709,36.064625,311.406309,-67.398605,298.00931
9,-10.35656,8.165689,0.481682,-0.092317,-0.108833,-7.844467,-19.592171,-32.433128,-44.273415,-25.159149,-2.926598,10.330696,-55.673046,-33.082695,-7.879829,10.197029,-59.278622,-47.552376,-23.624496,-7.020493,-58.619785,-73.698921,-78.170986,-81.34243,-14.257306,-11.922399,2.050237,15.349362,-2.442291,20.770863,28.844852,33.571476,12.543917,31.199149,37.40031,41.479851,25.221956,40.227615,44.616896,49.099667,36.279417,44.283382,48.99043,57.068619,26.776142,50.276127,71.80006,90.271282,50.469532,80.001926,97.029819,109.404316,40.172081,73.175182,92.575207,104.974194,29.663944,60.708447,78.833485,90.730076,20.029736,43.732338,58.084545,69.552326,-12.03108,-10.903085,-2.386468,3.481612,15.694793,35.87631,45.537594,51.931788,32.013637,51.78618,61.076097,65.685333,44.069972,64.217403,71.395641,73.530168,51.852377,70.516068,75.694396,76.561681,25.754156,319.593163,-66.870832,297.938158
10,-20.630379,6.917281,-0.299034,0.16685,7.599792,8.222008,3.433113,-2.552605,-20.056458,0.785637,18.556938,28.00518,-33.651237,-9.506149,11.28891,26.457367,-40.452175,-23.295536,-3.488159,10.754814,-42.904301,-46.308689,-44.761448,-42.559719,-16.312792,-20.00491,-16.364785,-11.308723,-10.730307,9.373033,20.761291,27.857587,5.365123,24.094949,33.323548,38.586844,18.333327,33.042831,40.039091,44.967762,29.39758,38.744246,44.228918,50.572291,26.201992,49.795303,71.554585,90.284443,50.4566,80.085011,97.356663,109.946079,40.352669,73.364239,92.951031,105.455189,30.005779,61.116085,79.236202,91.096172,20.486526,44.172592,58.589573,70.231419,-12.291481,-11.061598,-2.581229,3.305561,16.191823,36.297201,45.64961,51.615193,32.640342,51.808225,60.633162,64.968411,44.665802,64.482559,71.200448,73.120824,52.330016,70.898242,75.950228,76.637572,5.144663,326.52159,-67.148981,298.116154
11,31.353035,-17.555766,0.168858,-0.592557,-10.474663,-26.461372,-46.352577,-67.778206,-59.867134,-51.69714,-25.926704,-8.467255,-66.603413,-51.515923,-23.62381,-1.771202,-67.551842,-59.986038,-33.669777,-12.489738,-66.357422,-83.661633,-89.836636,-92.502365,8.791962,19.68035,37.974404,53.772321,13.533344,34.509588,43.56084,49.336912,21.716632,38.846381,47.954011,52.008111,29.136129,44.830552,51.420371,55.898325,36.202723,46.824288,53.692909,62.955471,26.227798,49.963303,71.647682,90.430412,50.406647,80.000153,97.268143,109.701118,40.141811,73.117905,92.498932,104.834404,29.531136,60.51899,78.614159,90.454216,19.785004,43.444519,57.915974,69.502373,-11.957288,-10.586058,-2.203131,3.60221,16.558373,36.7988,46.281069,52.414429,32.843994,52.479884,61.503904,65.89936,44.75886,65.176387,72.227666,74.335763,52.375958,71.36563,76.536857,77.394755,36.525564,308.997425,-66.952257,297.555197
