,vel_0x_L,vel_0y_L,vel_0x_R,vel_0y_R,posFromWrist_1x_L,posFromWrist_2x_L,posFromWrist_3x_L,posFromWrist_4x_L,posFromWrist_5x_L,posFromWrist_6x_L,posFromWrist_7x_L,posFromWrist_8x_L,posFromWrist_9x_L,posFromWrist_10x_L,posFromWrist_11x_L,posFromWrist_12x_L,posFromWrist_13x_L,posFromWrist_14x_L,posFromWrist_15x_L,posFromWrist_16x_L,posFromWrist_17x_L,posFromWrist_18x_L,posFromWrist_19x_L,posFromWrist_20x_L,posFromWrist_1y_L,posFromWrist_2y_L,posFromWrist_3y_L,posFromWrist_4y_L,posFromWrist_5y_L,posFromWrist_6y_L,posFromWrist_7y_L,posFromWrist_8y_L,posFromWrist_9y_L,posFromWrist_10y_L,posFromWrist_11y_L,posFromWrist_12y_L,posFromWrist_13y_L,posFromWrist_14y_L,posFromWrist_15y_L,posFromWrist_16y_L,posFromWrist_17y_L,posFromWrist_18y_L,posFromWrist_19y_L,posFromWrist_20y_L,posFromWrist_1x_R,posFromWrist_2x_R,posFromWrist_3x_R,posFromWrist_4x_R,posFromWrist_5x_R,posFromWrist_6x_R,posFromWrist_7x_R,posFromWrist_8x_R,posFromWrist_9x_R,posFromWrist_10x_R,posFromWrist_11x_R,posFromWrist_12x_R,posFromWrist_13x_R,posFromWrist_14x_R,posFromWrist_15x_R,posFromWrist_16x_R,posFromWrist_17x_R,posFromWrist_18x_R,posFromWrist_19x_R,posFromWrist_20x_R,posFromWrist_1y_R,posFromWrist_2y_R,posFromWrist_3y_R,posFromWrist_4y_R,posFromWrist_5y_R,posFromWrist_6y_R,posFromWrist_7y_R,posFromWrist_8y_R,posFromWrist_9y_R,posFromWrist_10y_R,posFromWrist_11y_R,posFromWrist_12y_R,posFromWrist_13y_R,posFromWrist_14y_R,posFromWrist_15y_R,posFromWrist_16y_R,posFromWrist_17y_R,posFromWrist_18y_R,posFromWrist_19y_R,posFromWrist_20y_R,posFromBody_0x_L,posFromBody_0y_L,posFromBody_0x_R,posFromBody_0y_R
40,19.906631,-27.146025,-10.807812,-24.59614,-24.504982,-48.09716,-64.299694,-75.895271,-64.696037,-84.369884,-82.567016,-77.190319,-62.098549,-79.947258,-74.822468,-65.223713,-56.109146,-72.382564,-67.050247,-58.444828,-47.032596,-61.951343,-62.620376,-58.521354,5.168065,17.434426,29.467803,37.261051,23.727584,41.084216,46.218529,47.529996,26.27012,44.093475,49.123268,49.138718,27.409588,43.13617,46.520303,46.175624,26.96869,38.699156,42.147707,43.119115,23.129185,45.186356,60.578762,70.4198,54.739872,79.310349,87.610165,91.27232,47.080731,72.676655,77.658646,77.305699,36.881573,58.698922,61.32209,59.402058,25.716248,42.012429,44.210816,41.970681,-8.857417,-10.266438,-8.50565,-8.369249,-0.621012,10.43561,18.707411,25.318089,7.367195,23.453165,32.498353,38.659895,15.33837,31.038721,38.316983,42.437242,23.518101,33.651727,35.512563,35.095217,66.613861,224.957943,-76.583336,219.651619
41,21.242157,-28.506065,-12.35123,-29.525447,-29.803688,-56.904487,-74.827285,-85.784054,-72.72924,-100.894787,-103.484688,-99.869442,-68.006721,-96.034,-95.034084,-88.223636,-59.467094,-84.356529,-82.492424,-76.15662,-47.588402,-66.821502,-68.530712,-65.15213,-3.004238,5.142247,14.005123,19.706773,15.015959,31.046144,36.32862,37.117259,21.876924,38.726314,42.70719,41.290253,27.397089,41.797051,43.362597,40.502935,30.576359,41.35887,42.849377,40.765164,22.756748,45.107162,60.17538,68.51762,57.001178,81.864578,87.734951,88.092716,50.416694,76.783802,77.881096,72.805813,40.833503,63.293071,61.306228,54.92015,30.192135,46.921303,46.025402,41.012912,-9.658302,-13.712636,-15.255032,-17.835551,-9.465826,-2.337636,5.347512,11.004844,-2.070868,11.271284,19.585446,24.615981,6.633131,20.465427,26.732698,29.60219,16.696243,25.212317,26.487574,25.563022,87.937546,196.967799,-88.853038,190.642093
42,11.253456,-31.402369,-14.105244,-29.08458,-30.384842,-57.38578,-74.819091,-84.875862,-74.639671,-102.655426,-106.007,-103.184154,-69.390472,-97.774097,-98.675205,-93.606411,-59.708358,-84.119979,-84.279602,-79.618847,-46.327949,-64.251342,-66.185852,-63.424278,-12.469533,-11.143727,-6.942494,-5.576952,2.762806,16.375036,19.960549,19.673379,13.405699,28.907498,30.981849,29.063183,22.45027,35.539307,35.437765,32.172094,28.818966,38.536425,38.293314,35.257775,25.961311,49.589653,65.302895,73.350655,63.136299,86.36927,91.412315,90.763126,55.534023,80.626408,81.437954,76.258347,44.776073,67.443535,66.704945,61.430145,33.15826,49.673355,50.199509,47.438358,-4.870613,-7.872782,-9.489729,-12.361697,-12.725698,-12.375085,-9.912898,-9.196822,-9.864035,-4.053976,-1.601355,-1.800092,-4.531788,1.915523,2.975536,1.412424,3.225539,5.675258,3.377013,-0.454545,99.233162,166.400845,-102.916122,162.392928
43,9.018219,-36.396648,-9.329521,-32.006578,-29.836578,-56.390426,-73.531929,-82.697212,-76.788749,-105.21904,-108.259368,-105.362865,-72.211113,-101.146358,-101.158927,-95.562004,-62.960578,-87.636123,-86.569725,-80.563819,-49.786712,-67.798523,-68.344154,-64.003975,-17.617922,-23.111887,-24.28025,-27.55707,-9.879372,-1.220112,0.708329,-0.00841,1.805905,12.066273,12.074717,9.403686,12.141086,20.155168,18.161825,14.141536,20.316952,26.866087,24.49053,20.23942,25.049812,47.322944,62.107223,69.823013,58.171543,78.285187,81.755081,79.872986,52.377491,76.230526,77.892803,73.853268,43.961563,66.324325,67.016853,63.249149,34.775219,51.240887,52.267204,50.142826,-5.095194,-11.532631,-16.746941,-23.176085,-21.390862,-30.604418,-31.996495,-33.211095,-20.876012,-28.599543,-30.74022,-32.812755,-18.224467,-24.281065,-27.287619,-29.892436,-12.763421,-20.178207,-25.762099,-30.507353,108.224584,130.959396,-112.27244,131.341549
44,9.069489,-40.805174,-17.904861,-40.723012,-30.155388,-57.363716,-75.375687,-85.091995,-77.99588,-107.569016,-113.446976,-112.75375,-74.098778,-104.516624,-107.518433,-104.123406,-65.997391,-92.286644,-94.02443,-89.886635,-54.196289,-73.892853,-76.365006,-73.562622,-22.297111,-32.873135,-38.238202,-45.032304,-22.411596,-19.782122,-19.08654,-19.420215,-11.085187,-8.030932,-8.968062,-10.445867,-0.57431,0.793888,-1.727758,-4.582739,8.054476,10.147951,7.393592,4.218318,27.925726,53.275988,70.052108,79.026686,70.054879,94.117065,97.361798,94.67294,65.46511,92.155682,92.715948,88.459877,57.419472,82.597354,82.664887,78.691696,47.919527,67.546643,68.850336,66.880527,-12.551534,-24.198229,-33.042422,-41.56268,-31.515726,-43.063549,-46.73496,-49.535807,-26.728845,-38.055411,-42.498554,-46.304439,-20.948097,-30.059549,-34.964069,-38.895967,-13.549987,-20.554833,-26.179744,-31.217424,117.332668,91.021661,-130.138706,91.485976
45,-1.284828,-34.28315,8.448783,-32.087874,-29.879173,-55.24038,-71.690369,-80.89048,-75.85405,-103.639641,-111.488594,-113.193329,-72.61837,-101.414681,-106.484047,-105.726586,-65.703964,-90.481911,-94.247956,-92.541687,-55.578003,-74.21592,-78.289902,-77.5028,-23.22178,-36.952799,-45.093788,-53.571774,-33.12985,-38.280019,-41.893184,-43.900801,-24.834484,-31.064508,-35.502041,-37.491491,-16.517531,-23.80713,-28.999969,-31.852962,-9.305034,-13.723226,-18.430127,-21.245526,26.852616,49.300387,63.595009,72.000439,67.728322,86.176926,88.796758,87.105241,64.181954,85.324995,86.142533,83.193809,57.204185,77.681025,78.467331,75.898119,48.604413,64.294088,66.249005,65.701638,-9.387875,-20.218805,-28.375715,-36.397753,-31.01097,-47.453994,-54.084403,-57.416002,-30.181709,-47.74013,-54.56558,-58.574341,-28.678067,-43.402144,-49.921021,-53.955468,-25.547245,-36.47037,-42.805278,-47.574691,116.375691,57.398962,-121.362072,60.058553
46,-1.352623,-28.220364,14.182552,-31.959111,-28.746803,-53.230934,-68.83223,-78.299675,-73.598351,-99.974785,-110.729164,-116.046204,-70.662255,-98.864067,-108.260079,-112.019028,-64.497757,-89.02977,-97.737992,-100.99221,-55.498078,-74.090973,-81.674378,-84.941002,-22.927428,-38.952784,-50.105439,-60.767871,-39.255701,-50.335484,-57.949693,-62.775512,-34.249175,-47.520944,-55.827782,-59.935827,-28.692712,-42.769262,-50.92128,-54.970927,-23.393409,-33.622729,-40.448558,-44.115199,25.436735,44.855645,56.649872,63.981123,62.672439,76.642952,78.741591,77.681468,59.32914,75.921772,76.888983,75.151439,53.127479,70.209722,72.228275,71.081516,45.42526,58.899413,61.996465,62.677212,-4.334064,-13.009663,-20.376522,-27.908401,-25.508346,-42.489797,-51.590897,-55.743806,-28.857029,-49.501477,-58.794743,-63.313907,-32.140451,-50.687799,-58.932196,-63.047593,-34.012918,-47.643356,-55.028367,-59.555363,115.539145,29.557348,-106.663443,28.478192
47,0.04079,-20.184132,19.813942,-37.290429,-28.023578,-51.468611,-66.611887,-76.914154,-69.985008,-95.756376,-109.28358,-117.780161,-67.26275,-95.853134,-109.406745,-117.629102,-62.040466,-87.360685,-100.139671,-107.740655,-54.586065,-74.310802,-84.676542,-91.340868,-21.976351,-39.315644,-51.86474,-61.934546,-46.028888,-60.936792,-69.402756,-75.436677,-42.976893,-60.953134,-69.970104,-74.964045,-38.499603,-56.822449,-65.977701,-71.056815,-33.427016,-47.256279,-55.224376,-60.146172,21.300161,36.823523,45.423268,49.846131,53.337045,64.837254,65.054022,62.563616,51.443089,66.55807,65.37359,61.836376,47.082653,62.629836,62.256031,59.367918,41.336305,53.736158,54.53758,52.941407,-3.568124,-11.978684,-19.812584,-27.835264,-21.596421,-34.070119,-40.768522,-42.036849,-26.083383,-43.522092,-50.193858,-51.342914,-30.900726,-47.020579,-52.745852,-54.075735,-34.588404,-46.029176,-51.614452,-53.902437,116.459854,9.586372,-85.969582,-8.599081
48,3.486839,-11.696733,19.844366,-33.80695,-27.25629,-50.279512,-65.277334,-76.378639,-67.608955,-92.856325,-107.936427,-118.371217,-64.989362,-93.848823,-110.125373,-121.367387,-60.29277,-86.06479,-101.600944,-112.332967,-53.679178,-74.029468,-86.26655,-95.394971,-21.310376,-39.454753,-53.001616,-62.853094,-50.051545,-67.67337,-77.16537,-84.70321,-48.291554,-69.591205,-79.703447,-86.049909,-44.654574,-66.011958,-76.468338,-82.941605,-39.890034,-56.427073,-65.646096,-72.049613,18.59902,31.012835,37.334845,40.159574,43.334492,51.868155,52.450398,50.575283,41.563208,54.816791,54.029813,50.64434,37.99633,52.13714,51.578865,48.773395,33.386388,44.321545,44.628034,42.795623,2.145225,-1.627756,-6.774662,-13.466638,-12.011994,-17.488486,-22.571943,-23.466513,-18.875354,-30.185624,-35.267859,-35.399996,-25.666632,-36.356801,-40.424565,-41.354937,-31.099393,-38.250655,-42.242515,-43.872369,121.057845,-0.720149,-65.014064,-41.015819
49,6.932888,-3.209335,19.844366,-33.80695,-26.444938,-49.663638,-64.828571,-76.69313,-66.470191,-91.274631,-106.687705,-117.819374,-63.84209,-92.851135,-110.415962,-123.233882,-59.254669,-85.142085,-102.12181,-114.769145,-52.777416,-73.246971,-86.4444,-97.103313,-20.929502,-39.370108,-53.516069,-63.523513,-51.323669,-70.545218,-81.237533,-90.575109,-50.193156,-73.435155,-85.02781,-93.193419,-47.157623,-70.337786,-82.393189,-90.625297,-42.782461,-61.135109,-71.713717,-79.82552,15.897879,25.202146,29.246423,30.473017,33.331939,38.899056,39.846774,38.586951,31.683327,43.075512,42.686037,39.452304,28.910007,41.644445,40.901699,38.178871,25.436472,34.906932,34.718489,32.649838,7.858573,8.723172,6.26326,0.901988,-2.427568,-0.906853,-4.375365,-4.896177,-11.667326,-16.849156,-20.341861,-19.457079,-20.432537,-25.693023,-28.103279,-28.634138,-27.610382,-30.472135,-32.870578,-33.8423,129.196563,-1.465612,-43.963868,-72.358897
