frame,0x_L,0y_L,1x_L,1y_L,2x_L,2y_L,3x_L,3y_L,4x_L,4y_L,5x_L,5y_L,6x_L,6y_L,7x_L,7y_L,8x_L,8y_L,9x_L,9y_L,0x_R,0y_R,1x_R,1y_R,2x_R,2y_R,3x_R,3y_R,4x_R,4y_R,5x_R,5y_R,6x_R,6y_R,7x_R,7y_R,8x_R,8y_R,9x_R,9y_R,x_Body,y_Body
2,946.7794990539552,694.8421266078949,977.6124572753906,693.9881184101105,940.107307434082,703.4048092365265,997.711944580078,734.3689975738525,930.2739715576172,723.043045759201,1000.4962921142578,751.3826563358307,922.594985961914,738.2550127506256,988.8839721679688,759.3564870357513,915.388240814209,749.819876909256,968.3926391601562,759.9297778606415,917.8348731994628,683.3680355548859,984.945831298828,699.2917995452881,933.4270477294922,720.4001281261444,998.4987258911132,746.4699170589447,923.2343101501464,738.0727255344391,999.1970443725586,757.5115082263947,916.5282440185548,749.1254317760468,988.403549194336,765.0182588100433,912.970848083496,754.3107373714447,970.0833892822266,766.1179101467133,968.5526275634766,404.2809044122696
3,963.4458446502686,700.2634422779083,962.4236583709717,711.6933200359344,937.5318145751953,708.2793558835983,993.4125709533691,737.9478353261948,929.1997146606445,724.4833432435989,998.0150413513184,752.5202841758728,924.9231433868408,737.1869467496872,988.8634872436523,757.0005235671997,922.0662117004395,746.9097652435303,970.5001258850098,757.1765122413635,918.2637977600098,683.4430314302444,984.5867156982422,699.5298473834991,933.1747627258301,720.553022146225,998.4469413757324,746.4894301891327,923.1019878387451,738.2097805738449,999.5112991333008,757.3731564283371,916.6425132751466,749.3684505224228,989.0818405151368,764.9309746026993,913.4628582000732,754.6316542625427,970.872631072998,766.0244508981705,967.659101486206,403.9996544420719
4,962.3799705505371,705.6214226086935,965.9805107116699,710.42449315389,940.707950592041,712.2953248023987,992.4785995483398,737.5975355307261,933.3300018310547,727.7265880902609,995.7241058349609,752.1242170333862,929.6180152893066,740.2066551049551,986.3621520996094,756.9426222642263,927.5950241088867,749.8320211569468,965.8666038513184,757.4656482537588,918.4841918945312,683.1614186763763,984.5723724365234,699.4334138234457,932.744312286377,720.5643224716187,998.1745529174805,746.5373279253641,922.6994323730469,738.1660921573639,999.2236709594727,757.6535753409067,916.4238929748535,749.2996708552042,988.9085388183595,765.2125256061554,913.5323524475098,754.4951241016388,970.8635330200195,766.115975300471,967.0120143890381,403.8082050085068
5,968.2705736160278,704.117532491684,965.4212236404419,708.94723290205,940.5479621887207,711.1718686819077,992.9356384277344,737.9288779497147,931.981372833252,727.3252978920937,996.0792446136475,752.534039080143,927.9667854309082,740.3413893580437,986.458911895752,757.120736181736,926.0884809494019,750.3873940706253,966.1807680130005,757.9829417467117,918.5622882843018,683.1106598377228,984.4513893127441,699.3150794506073,932.9345655441284,720.7751692533493,997.9306983947754,746.6124524474144,922.91184425354,738.3194029927254,998.9699077606201,757.6842550039291,916.634030342102,749.4008540511131,988.7067031860352,765.2594250440598,913.7038135528564,754.5257214307785,970.6868648529053,766.1109632253647,966.5179395675659,403.6270254403353
6,966.9005928039551,706.4989124298096,963.3191757202148,709.8784136772156,940.2771034240723,714.065128660202,991.1604309082031,737.9571287631989,932.7966613769531,729.6815979003907,996.1360473632812,752.47787399292,929.7334098815918,742.165024137497,987.1516799926758,756.6394689083099,928.7954292297363,751.805498456955,967.752628326416,757.9848127841949,918.558666229248,683.1001375675202,984.2532119750977,699.2381878376007,932.8756828308105,720.8652816295623,997.9802398681641,746.6115478038788,922.8519630432129,738.3075006008148,998.8797225952148,757.7758370399475,916.5809669494629,749.3128936767578,988.5202789306641,765.369927406311,913.6619338989258,754.3793791294098,970.3904571533203,766.1777709960937,966.1236476898193,403.4709952712059
7,973.5508346557617,706.9421815872192,961.6463012695312,710.3596716880799,940.6463012695312,714.9519139766693,990.3637161254883,737.7856478691101,932.8119277954102,730.556984090805,995.4824295043945,752.429375219345,930.2105484008789,743.1048654079437,986.705451965332,756.3175146102906,930.2168426513672,752.8193784713745,967.4770088195801,757.9922351837158,918.607063293457,683.1266531944275,983.9846878051758,699.1173916816712,932.610179901123,720.9770745754242,997.8628921508789,746.6897361755371,922.6692237854004,738.3273842334747,998.7469940185547,757.7820491313935,916.5586395263672,749.3180066108704,988.5348587036133,765.4903777599335,913.836353302002,754.3493807792663,970.4972763061523,766.3333449840545,965.2330341339111,403.1402261018753
8,969.6600723266602,708.40727186203,965.7287406921387,707.0245195865631,941.8266906738281,716.3063475131988,989.4933700561523,736.8808314323426,934.2583465576172,732.4819420337677,995.3229217529297,752.1886968135834,931.5418853759766,745.5261484622955,986.3469543457031,756.3892932891846,931.5117988586426,755.7138302326202,966.9331398010254,758.7744400024415,918.4298973083496,683.1165631771088,983.8426895141602,698.9618423938751,932.4878311157227,721.0528176307678,997.7649307250977,746.7815960884094,922.5572547912598,738.3237656593323,998.438232421875,757.8866543293,916.4735641479492,749.2578493595123,988.1924743652344,765.6347625732421,913.754093170166,754.2263616085053,970.1760406494141,766.4982309341431,964.6433143615723,402.8849807739258
9,973.3550262451172,704.5582945823669,965.1634712219238,704.646511220932,941.0614128112793,713.1347228527069,990.2606048583984,735.7247155189514,932.1833038330078,730.5119680404663,996.5041122436523,752.2608706951141,928.6587524414062,744.5551232337951,987.1833114624023,756.9334996700287,927.948429107666,755.5850065231323,968.7008285522461,759.5765408039093,918.2524909973145,683.235827922821,983.618293762207,699.0199865818024,932.5307922363281,721.0335391521454,997.6604461669922,746.8382953166962,922.6117172241211,738.2804045200348,998.3361511230469,757.7552124023438,916.4995307922363,749.2397070884705,988.1306304931641,765.5832750797272,913.7083740234375,754.247233247757,970.1097106933594,766.6227938652039,964.228666305542,402.6733219742775
10,967.9675941467285,707.1024733066558,967.5024375915527,704.6540694713592,941.1694221496582,715.3904777526856,989.0592041015625,735.6970636844635,933.3580055236816,732.3096213340759,996.4971313476562,752.2671815872193,930.3185348510742,745.9899311065674,987.7589721679688,756.6260073184967,930.0448265075684,756.7533243179321,968.5164642333984,759.3988478183746,918.0865173339844,683.3452867031098,983.4959564208984,699.0200730323792,932.302734375,721.1258683681488,997.7868118286133,746.8834348678589,922.4099922180176,738.3500095844269,998.3506393432617,757.7236085414886,916.3564453125,749.2926271915436,988.1851501464844,765.5466570854187,913.6288375854492,754.3009931564332,970.2110595703125,766.7033040523529,963.946855545044,402.49773776531225
11,966.9000091552734,706.0063787937164,971.8673629760742,701.549209356308,941.6156730651855,713.9547930240631,990.9751739501953,735.9591077327728,932.9945869445801,731.251639175415,996.7401809692383,753.1474831104279,929.2433166503906,745.1700955867767,987.7569351196289,757.9103664875031,928.4826393127441,756.155456829071,966.8638687133789,760.3460250377655,918.0402145385742,683.4044682979584,983.499870300293,698.9912355899811,932.5302543640137,721.3106379508972,997.6914825439453,746.8919070243835,922.6401672363281,738.5687171936036,998.2115020751953,757.661537027359,916.5491523742676,749.5134219646454,988.1620559692383,765.4661962985992,913.7611541748047,754.5024353504181,970.3926315307617,766.7233852863312,963.7668514251709,402.33856681585314
