,0x_L,0y_L,1x_L,1y_L,2x_L,2y_L,3x_L,3y_L,4x_L,4y_L,5x_L,5y_L,6x_L,6y_L,7x_L,7y_L,8x_L,8y_L,9x_L,9y_L,10x_L,10y_L,11x_L,11y_L,12x_L,12y_L,13x_L,13y_L,14x_L,14y_L,15x_L,15y_L,16x_L,16y_L,17x_L,17y_L,18x_L,18y_L,19x_L,19y_L,20x_L,20y_L,0x_R,0y_R,1x_R,1y_R,2x_R,2y_R,3x_R,3y_R,4x_R,4y_R,5x_R,5y_R,6x_R,6y_R,7x_R,7y_R,8x_R,8y_R,9x_R,9y_R,10x_R,10y_R,11x_R,11y_R,12x_R,12y_R,13x_R,13y_R,14x_R,14y_R,15x_R,15y_R,16x_R,16y_R,17x_R,17y_R,18x_R,18y_R,19x_R,19y_R,20x_R,20y_R,x_Body,y_Body
5,952.052948,695.807298,957.348061,690.806404,958.210785,696.198178,956.153011,705.735788,950.100952,714.055236,952.007355,705.760279,973.476654,721.812545,990.610039,725.305284,998.265083,725.603848,947.028008,714.865957,976.243149,730.80154,993.17347,733.191553,1003.995964,732.437531,940.988285,720.577796,966.549614,736.731568,983.761185,737.206651,994.636986,736.03248,935.47578,725.095802,948.211624,741.033954,960.718094,742.07309,969.096268,740.880109,895.684296,689.674914,920.678352,674.581026,945.375343,673.242252,967.913544,680.664603,988.040611,686.444108,947.982651,699.965052,979.827919,714.587167,996.984856,720.149409,1009.689377,723.452315,939.96373,717.886059,975.596741,730.291606,995.71463,735.153969,1009.537399,737.377774,931.034145,731.148652,965.443382,744.267082,984.135841,747.32253,996.923378,746.977258,922.37344,739.97428,949.467854,753.007902,964.771362,754.448021,976.723366,752.142273,964.123306,401.512791
6,951.83353,695.727381,958.506947,688.990917,960.48856,692.858123,959.020718,701.219277,953.441483,708.757211,952.482536,704.356926,974.17099,720.860058,991.984634,724.502406,1000.099983,724.403309,946.63805,714.936625,975.891129,731.610384,993.359436,733.64096,1004.734268,732.256084,939.897343,721.819264,965.398956,738.473523,983.01693,738.522034,994.060776,736.792183,933.925117,727.163046,945.766743,743.532573,957.82085,744.282075,965.992504,742.542517,895.780712,689.483661,921.011272,674.472518,945.573841,673.223715,967.924095,680.880544,987.94915,686.643006,948.101246,699.702193,979.958359,714.308672,997.096161,719.942545,1009.878456,723.261432,940.045475,717.658459,975.785248,729.844854,995.776405,734.800756,1009.699951,737.019103,931.034374,731.064214,965.789589,743.869237,984.313271,747.037033,997.062927,746.725329,922.150211,740.082047,949.884659,752.973582,965.202507,754.299956,977.148834,751.81155,963.678371,401.647824
7,956.815029,695.865738,962.408363,689.337608,962.578709,692.798077,959.47649,700.732968,952.877357,707.510569,953.074505,705.04201,973.784569,721.96928,991.623047,725.473641,999.693672,724.856729,947.023865,715.742208,975.205238,732.752187,992.627106,734.2421,1004.193604,732.328146,940.311584,722.584339,964.688118,739.385712,982.068146,738.995437,992.955963,737.086176,934.541531,727.778277,944.598701,744.376257,955.463448,745.024933,962.911274,743.255117,895.853371,689.30971,921.102585,674.293034,945.562431,673.082986,967.869896,680.771789,987.860481,686.614959,948.142948,699.436061,980.051651,714.224161,997.18824,720.001418,1010.000656,723.421847,940.04417,717.392303,975.713196,729.711189,995.639534,734.79242,1009.535545,737.050423,931.00668,730.792303,965.645004,743.703462,984.142136,746.990127,996.896141,746.717833,922.120663,739.757178,949.814518,752.820898,965.077789,754.23823,976.973969,751.749281,963.266144,401.795923
8,959.086967,698.907218,962.824654,692.765596,962.36031,695.071949,959.971882,702.675772,953.446941,709.906275,952.446041,706.483586,972.81118,721.957622,990.218056,726.149227,998.731384,726.67723,946.468826,717.071583,974.272728,732.570579,992.221687,734.645948,1003.973076,733.07214,940.971439,723.879356,964.628746,738.707927,982.100304,739.059472,993.246964,737.722601,937.062733,729.193856,945.989777,743.551049,955.667713,744.165923,962.884232,742.752826,895.868912,689.15195,921.122829,674.064348,945.633751,672.90985,967.913841,680.590243,987.909622,686.469265,947.841946,699.172979,979.955887,714.076392,997.194603,719.855267,1010.102692,723.268521,939.609375,717.240335,975.454742,729.664666,995.438805,734.645899,1009.336487,736.805064,930.570408,730.667591,965.35247,743.689247,983.903,746.867565,996.678291,746.50472,921.810642,739.536149,949.541576,752.739473,964.853531,754.110283,976.796196,751.521496,962.915176,401.932518
9,959.249371,699.282636,964.132851,689.836737,964.519032,690.617583,962.672504,697.484526,956.572151,704.357482,953.227558,704.049965,973.695168,719.492286,991.459534,723.969747,1000.203392,724.572813,946.427696,716.929002,973.792763,732.41661,991.793427,734.575022,1003.903381,732.914726,940.350426,725.749665,963.409904,740.42302,980.928818,740.613693,992.207726,739.180404,936.025234,732.596267,944.060143,746.856845,953.339207,747.209008,960.390953,745.487987,895.974758,689.056928,921.166878,673.867562,945.703629,672.706987,967.985184,680.40199,987.837914,686.425706,947.784805,698.899944,980.029564,713.942381,997.265739,719.806336,1010.151947,723.334471,939.392738,717.030433,975.294205,729.589367,995.24295,734.572082,1009.06485,736.727789,930.24876,730.478536,965.048973,743.685529,983.58403,746.825674,996.327484,746.41013,921.49474,739.24849,949.140701,752.650874,964.451569,754.087411,976.41053,751.492671,962.578211,402.058254
10,961.068878,699.118775,964.986763,689.772961,964.385262,690.853606,961.935013,697.750707,955.358906,704.694553,952.703453,704.159547,972.828552,719.518468,990.727615,723.991989,999.648193,724.531984,946.141365,716.916022,973.261299,732.289244,991.288994,734.505713,1003.70977,732.790249,940.482822,725.672205,963.38649,740.20866,980.945297,740.433419,992.467758,739.080208,936.661732,732.418611,944.510582,746.636199,953.763073,746.971219,961.037109,745.32089,896.063873,688.877407,921.205627,673.761561,945.796577,672.612151,968.077354,680.193002,987.845741,686.257041,947.629475,698.716681,979.974884,713.953237,997.335754,719.852056,1010.342102,723.378746,939.111134,716.829966,975.03273,729.508734,994.971657,734.455362,1008.748627,736.591802,929.907326,730.286171,964.759232,743.614133,983.26609,746.725169,995.976952,746.309242,921.190441,739.026436,948.865711,752.530621,964.170479,753.926971,976.089249,751.290154,962.274668,402.168222
11,962.448933,697.297755,963.755527,693.982252,960.837788,698.139006,957.31208,706.471162,949.568447,713.992461,950.416374,707.308374,969.508301,722.751942,987.609512,727.022638,997.00486,727.535783,945.231869,716.311201,972.131882,731.806751,990.782387,734.453596,1003.831924,733.034299,940.854195,721.906863,964.112366,736.63031,982.415337,737.602731,994.921852,736.796592,938.262028,726.29176,947.186405,740.716322,957.737114,741.857384,966.35915,741.098681,896.119034,688.777001,921.162998,673.690017,945.798111,672.507707,968.127342,679.994129,987.827385,686.090216,947.552639,698.564725,980.045334,713.792908,997.520164,719.723529,1010.6147,723.32443,938.930019,716.6604,974.903,729.292138,994.852661,734.223402,1008.613632,736.394312,929.662182,730.107984,964.533119,743.460288,983.026039,746.516773,995.735504,746.077938,920.944347,738.81625,948.531189,752.411912,963.822647,753.769013,975.750229,751.071138,962.005886,402.264454
12,964.946125,695.035319,962.103756,701.658051,955.948128,710.186524,950.720592,719.974297,941.099476,727.859356,947.066483,712.46914,964.751507,727.58553,983.050987,731.873738,993.409332,732.738416,943.719257,714.866204,970.690269,730.582895,990.207687,734.357339,1004.346336,733.800252,941.559277,714.909961,965.591698,730.118223,984.91642,732.859546,998.742897,733.204644,941.135147,714.716447,951.772774,729.136465,964.398891,731.815692,975.053707,732.549238,896.093227,688.740087,921.005447,673.564676,945.706421,672.384761,968.077332,679.822413,987.755562,685.964282,947.323997,698.503099,980.047943,713.704148,997.696953,719.614107,1010.925568,723.265187,938.625366,716.608887,974.762833,729.203156,994.778755,734.061567,1008.532608,736.265229,929.339424,730.029487,964.361183,743.449544,982.905327,746.391198,995.649216,745.930984,920.68911,738.651895,948.327312,752.29839,963.654305,753.560297,975.605164,750.807204,961.784632,402.34841
13,963.75832,693.552099,961.251194,698.747618,955.736046,707.161149,952.124828,717.473653,945.658344,725.227541,945.600403,711.419914,964.243,727.015227,983.567482,731.419909,994.678162,732.313252,942.579426,714.144848,969.540138,730.659564,990.078667,734.632499,1005.563599,734.178386,940.437744,714.592539,964.566147,730.487984,984.801704,733.477569,999.593811,733.508419,939.769363,714.387762,949.864323,729.609634,962.131645,733.003943,972.183552,733.668316,896.125717,688.878519,920.931461,673.553265,945.600769,672.277044,968.002899,679.670248,987.504959,685.898012,947.578171,698.517449,980.219765,713.541596,997.811165,719.457335,1010.954475,723.15821,938.904247,716.621448,974.885422,729.036257,994.853966,733.891926,1008.549042,736.112903,929.573925,730.080333,964.457451,743.408097,982.970444,746.345651,995.666473,745.838,920.83128,738.800516,948.516861,752.288621,963.85025,753.471574,975.748169,750.647765,961.562748,402.428726
14,963.434978,695.887413,960.365215,699.543778,955.551521,706.842776,953.947666,717.611319,949.928719,726.17988,944.231495,711.179421,963.532528,725.27147,982.666031,730.53773,994.379356,732.825176,941.205116,714.491071,968.316399,729.975925,989.990044,734.869262,1006.463264,735.260661,940.070492,715.811307,964.243515,730.233955,985.084282,734.010326,1000.549278,734.320054,940.685795,716.085207,950.386757,729.470362,961.806942,732.872476,971.563946,733.474839,896.199944,688.912432,920.819778,673.389132,945.412319,672.09614,967.788048,679.477611,987.322037,685.675611,947.871231,698.611224,980.467461,713.415712,998.064171,719.272739,1011.143349,722.971181,939.250935,716.710677,975.133598,728.917671,995.013771,733.730894,1008.593559,735.973903,929.917877,730.151741,964.747192,743.312334,983.182686,746.22546,995.776566,745.740583,921.134914,738.906541,948.953728,752.19854,964.260498,753.263203,976.055992,750.415818,961.336327,402.516711
15,964.54446,696.246417,960.677799,699.430405,955.56712,706.720411,953.837849,717.736104,949.846676,726.438516,943.567806,711.00815,962.798607,724.658461,981.990074,730.06035,994.229622,732.637368,940.562233,714.473151,967.573471,729.242713,989.418961,734.453287,1006.383568,735.230996,939.813251,715.938414,963.764809,729.796157,984.696281,733.727028,1000.478874,734.182326,940.903851,716.352438,950.133224,729.232314,961.424,732.767809,971.423115,733.546112,896.165199,688.854905,920.763634,673.17324,945.250145,671.85167,967.599518,679.233265,987.060722,685.466907,948.154392,698.522538,980.620834,713.131252,998.122856,718.967235,1011.058273,722.696194,939.623028,716.599625,975.404251,728.717427,995.196465,733.61379,1008.709167,735.946004,930.258888,730.033637,964.993103,743.111967,983.401886,746.142628,995.954407,745.750018,921.375687,738.845137,949.242302,752.046387,964.536667,753.151818,976.267456,750.353993,961.106117,402.601074
16,965.924572,696.640632,960.584312,701.49624,954.662991,709.550988,952.551144,720.594284,948.257812,729.199624,942.370239,712.31259,961.401707,725.174658,980.116814,730.806727,992.627541,733.884454,939.993793,714.131424,967.377525,728.341046,988.772186,734.162591,1005.949196,735.624766,940.41164,714.198127,964.705215,727.674771,985.294258,732.299655,1001.132034,733.333987,942.713779,713.232992,952.266678,725.33779,963.464275,729.391,973.677807,730.737443,896.024963,688.674199,920.696228,672.916309,945.183277,671.618624,967.494209,679.007382,986.84404,685.277297,948.360844,698.399704,980.653816,712.978358,998.024368,718.797199,1010.809868,722.502087,939.876938,716.453659,975.498047,728.623863,995.181862,733.5749,1008.627777,735.929912,930.484634,729.858624,965.080193,742.964927,983.413353,746.092993,995.897873,745.775447,921.529678,738.676175,949.426254,751.801583,964.666878,752.938063,976.300186,750.212202,960.854364,402.66753
17,964.327686,697.866378,959.725227,698.932326,954.823849,706.160508,953.595715,717.602415,950.384228,727.038112,942.357273,710.751478,962.373745,723.167201,980.817604,728.650625,993.023827,731.864981,940.150692,714.814816,968.315208,727.825405,989.162155,733.490092,1005.871468,735.002162,940.548798,716.768945,965.271355,729.098032,985.438591,733.052997,1000.931488,733.714468,942.725475,717.53502,952.587479,728.922265,963.579746,732.192394,973.601818,732.911861,895.919472,688.50404,920.63879,672.720474,945.09621,671.435645,967.361778,678.839594,986.614288,685.081054,948.573978,698.2857,980.78746,712.827663,998.050369,718.62284,1010.665237,722.314638,940.08268,716.321402,975.63073,728.425557,995.173141,733.410075,1008.475502,735.823924,930.626644,729.725095,965.183212,742.715825,983.386276,745.914435,995.710602,745.702508,921.591946,738.592713,949.484791,751.591595,964.666786,752.747168,976.17849,750.099199,960.570219,402.715343
18,968.137791,695.037307,960.962242,704.856327,952.656315,716.761102,947.280602,729.042074,939.361507,738.31974,941.067204,714.947987,959.444355,728.042544,977.319786,732.60201,989.306351,734.784985,940.233307,713.68298,969.01918,727.373639,988.88031,732.925853,1005.2211,734.441147,941.934208,710.841844,967.943756,724.560463,987.79406,728.55222,1003.174713,729.597506,945.20945,707.859274,957.628326,720.248457,971.178234,723.892596,983.51944,725.444779,895.826305,688.158731,920.618374,672.470335,945.070747,671.255322,967.301353,678.671423,986.50248,684.821381,948.615852,698.160655,980.93541,712.745152,998.152634,718.530758,1010.697693,722.282132,940.068626,716.115897,975.686119,728.22088,995.104202,733.284969,1008.324463,735.849563,930.537598,729.416108,965.101181,742.38157,983.207932,745.670546,995.499161,745.646661,921.44339,738.154088,949.17984,751.230479,964.29071,752.508156,975.824203,750.027457,960.281845,402.738716
19,972.196335,691.782307,961.759323,710.928455,949.820412,727.29119,940.737225,739.98726,928.675644,748.584585,939.228252,719.660642,956.133625,733.371963,973.879555,737.162216,986.212463,738.538509,940.022427,712.412082,968.931152,726.782342,987.841141,732.332086,1004.082321,733.937053,943.243469,703.982509,969.966522,719.053796,989.47998,723.668083,1004.956192,725.529932,947.90847,696.464792,961.7089,709.954181,976.723251,715.009107,990.587746,718.190451,895.586552,687.937591,920.516476,672.428468,945.050308,671.177936,967.352531,678.470783,986.486916,684.610083,948.389248,698.066634,980.819412,712.68907,998.039474,718.465043,1010.554596,722.232596,939.798374,716.018801,975.567993,728.135145,994.971291,733.20063,1008.154404,735.80961,930.256989,729.304142,964.938148,742.248906,983.003586,745.52563,995.216766,745.523506,921.206841,737.985361,948.887089,751.022207,963.987488,752.29513,975.493149,749.827806,960.037016,402.735338
