,vel_0x_L,vel_0y_L,vel_0x_R,vel_0y_R,posFromWrist_1x_L,posFromWrist_2x_L,posFromWrist_3x_L,posFromWrist_4x_L,posFromWrist_5x_L,posFromWrist_6x_L,posFromWrist_7x_L,posFromWrist_8x_L,posFromWrist_9x_L,posFromWrist_10x_L,posFromWrist_11x_L,posFromWrist_12x_L,posFromWrist_13x_L,posFromWrist_14x_L,posFromWrist_15x_L,posFromWrist_16x_L,posFromWrist_17x_L,posFromWrist_18x_L,posFromWrist_19x_L,posFromWrist_20x_L,posFromWrist_1y_L,posFromWrist_2y_L,posFromWrist_3y_L,posFromWrist_4y_L,posFromWrist_5y_L,posFromWrist_6y_L,posFromWrist_7y_L,posFromWrist_8y_L,posFromWrist_9y_L,posFromWrist_10y_L,posFromWrist_11y_L,posFromWrist_12y_L,posFromWrist_13y_L,posFromWrist_14y_L,posFromWrist_15y_L,posFromWrist_16y_L,posFromWrist_17y_L,posFromWrist_18y_L,posFromWrist_19y_L,posFromWrist_20y_L,posFromWrist_1x_R,posFromWrist_2x_R,posFromWrist_3x_R,posFromWrist_4x_R,posFromWrist_5x_R,posFromWrist_6x_R,posFromWrist_7x_R,posFromWrist_8x_R,posFromWrist_9x_R,posFromWrist_10x_R,posFromWrist_11x_R,posFromWrist_12x_R,posFromWrist_13x_R,posFromWrist_14x_R,posFromWrist_15x_R,posFromWrist_16x_R,posFromWrist_17x_R,posFromWrist_18x_R,posFromWrist_19x_R,posFromWrist_20x_R,posFromWrist_1y_R,posFromWrist_2y_R,posFromWrist_3y_R,posFromWrist_4y_R,posFromWrist_5y_R,posFromWrist_6y_R,posFromWrist_7y_R,posFromWrist_8y_R,posFromWrist_9y_R,posFromWrist_10y_R,posFromWrist_11y_R,posFromWrist_12y_R,posFromWrist_13y_R,posFromWrist_14y_R,posFromWrist_15y_R,posFromWrist_16y_R,posFromWrist_17y_R,posFromWrist_18y_R,posFromWrist_19y_R,posFromWrist_20y_R,posFromBody_0x_L,posFromBody_0y_L,posFromBody_0x_R,posFromBody_0y_R
7,0.040786,0.874929,101.825775,3.953089,8.006516,17.849534,26.929917,32.732026,-13.132713,9.462822,33.026619,48.718667,-19.704803,3.891243,32.172249,50.431939,-19.45301,-0.757278,24.973572,42.226181,-16.042121,-3.082466,14.631112,29.210724,-5.160729,0.192081,13.233694,28.564987,30.227432,59.091118,64.62188,64.097471,47.674282,77.840223,80.043391,74.137187,59.742412,85.288162,87.764267,83.336454,66.399057,85.487925,89.235397,86.954473,21.435837,37.078331,45.11023,46.647057,34.685898,44.837528,46.581917,46.603695,27.918583,37.295609,40.788197,42.391617,22.318291,29.361591,32.06638,34.260315,18.198978,23.651001,25.387424,27.623772,2.715536,13.49249,26.749982,37.368262,34.141593,57.079067,64.361491,64.132755,44.842235,67.827332,72.394096,67.554469,51.274726,70.99451,75.114745,70.221284,54.363963,71.683027,75.929998,73.404863,47.164083,330.975632,-277.161398,314.295895
8,-3.595069,0.48747,102.908581,5.281772,9.588684,20.364601,29.443336,36.115905,-9.98037,13.556144,36.625557,52.40126,-16.620301,8.993934,35.988441,53.919754,-16.161553,4.513961,28.626388,45.987854,-12.474472,1.762092,18.523796,33.227851,-4.613064,0.928949,13.50873,28.582957,30.522932,58.695409,64.65304,64.701835,47.184169,76.694901,79.422133,74.247485,58.225662,83.911561,86.63631,82.429501,64.01764,83.132801,87.212565,85.239441,18.831184,33.577377,42.44973,46.582878,22.430168,36.911201,45.351379,50.939918,15.803902,30.906166,41.918289,49.683792,12.328628,24.4086,33.882705,41.963516,11.249954,19.735817,26.070465,32.885811,-0.379147,8.808202,22.357243,34.590123,33.081709,56.932027,63.875182,63.94454,45.913222,69.510821,73.640491,69.039332,53.658836,74.271506,78.171538,73.698684,57.420893,75.384347,80.110872,77.997995,-33.902916,332.361694,-251.724747,320.476259
9,-0.661652,2.564853,103.172138,5.370693,10.003052,20.818863,29.316627,36.037285,-9.93647,13.6371,36.224396,52.26297,-16.627945,9.379761,35.589226,53.732918,-16.128456,5.120888,28.638176,46.434517,-12.1661,2.317909,18.637619,33.569962,-6.482954,-1.82428,10.574869,25.731767,27.859835,55.465406,62.008467,62.790622,44.307761,72.929151,76.54875,72.538172,55.18102,80.183379,83.50444,80.171782,61.061771,79.95988,84.643784,83.417372,16.750362,30.914291,40.581677,46.896744,10.892738,30.037308,44.839279,55.776272,4.099045,25.507599,43.297806,56.726715,2.441528,20.147564,35.872845,49.528633,4.120926,16.177975,26.865269,38.11409,-3.320147,4.475336,18.452122,32.426709,31.878823,57.248757,64.381053,65.250931,46.525786,72.085998,76.247593,72.110501,55.50642,78.264855,82.344013,78.461419,59.994847,79.07507,84.527051,83.01713,-106.970896,335.592176,-220.958937,326.512581
10,-6.980164,-0.021921,68.919205,3.996807,11.588997,24.215264,34.198677,42.612397,-4.448387,20.108345,42.04628,58.431267,-10.774978,17.040894,42.036003,59.884118,-10.040863,12.870163,34.997292,52.713593,-5.647155,9.314392,24.720566,39.813538,-7.325748,-2.244047,10.408538,25.573216,27.980877,54.896437,61.659675,62.729477,44.094264,72.379485,76.237453,72.480274,54.333014,79.426405,83.482308,80.559402,59.660728,79.249861,84.717069,83.750787,15.120929,28.831634,38.887195,46.581009,2.810173,25.195305,44.258636,58.930347,-4.022507,21.800712,44.036796,61.141578,-4.365586,17.17242,37.040714,54.394607,-0.793938,13.637073,27.20499,41.397087,-5.466726,1.169166,15.338893,30.487541,30.805132,57.067471,64.28807,65.706341,46.619392,73.424208,77.617444,73.914881,56.354324,80.491172,84.693679,81.349857,61.321276,81.104572,87.048803,86.024705,-178.423943,335.735471,-216.512615,330.674604
11,-3.088554,-0.046857,34.463436,2.738755,13.495514,26.739258,36.280586,44.60733,-1.948952,22.826408,44.122513,60.813194,-8.685837,20.242516,44.315849,62.454117,-8.198227,15.695183,37.342392,55.896927,-3.691223,11.743034,26.804695,42.340576,-7.70818,-2.296646,10.725738,25.786392,28.258026,54.325407,61.311947,62.832588,44.077642,71.562417,76.026552,73.067484,53.817967,78.751857,83.224205,81.02589,58.852651,78.755377,85.004148,84.863752,14.028992,27.494957,37.571525,45.880394,-1.567589,22.812813,44.07518,60.79454,-8.293648,20.124962,44.518776,63.362549,-7.793907,15.87545,37.77317,56.925339,-3.147812,12.424896,27.439064,43.120102,-6.976994,-1.243839,12.808048,28.522762,29.785904,56.261257,63.460441,65.144486,46.153147,73.480643,77.753019,74.380359,56.156689,80.938796,85.25678,82.37647,61.281961,81.408556,87.63033,86.96371,-193.233513,336.393878,-193.770195,334.118623
12,-0.155823,0.075484,0.195373,1.299537,13.447563,26.573456,35.946373,44.109741,-2.530998,22.359627,43.614739,60.859726,-9.122131,20.074608,44.173439,62.807991,-8.337021,15.70871,37.410668,56.4581,-3.455703,11.892563,26.793595,42.480332,-8.04267,-3.02619,10.41228,25.78938,28.291297,53.991386,61.251086,63.246476,44.201525,71.279377,75.878943,73.152848,53.789401,78.394359,82.992961,80.925175,58.672722,78.595233,85.055265,85.114878,13.350838,26.667046,36.423066,44.578103,-2.540153,22.472924,43.84639,60.913788,-8.960105,20.001984,44.21354,62.799843,-8.076988,15.743271,37.534836,56.58696,-3.178825,12.284386,27.257012,42.934639,-7.642676,-2.544067,11.200142,26.946015,28.900057,55.027064,62.0202,63.647632,45.197201,72.393071,76.742461,73.673429,54.987198,79.767799,84.163601,81.676801,60.018449,80.180317,86.449799,86.00506,-194.990547,336.881917,-195.176033,335.830715
13,-0.412811,-0.034704,-0.277977,0.303577,13.737305,27.030807,36.479622,44.452858,-2.159157,23.027298,44.291405,61.601692,-8.960495,20.754822,44.729553,63.290565,-8.273529,16.362122,37.955795,56.889473,-3.484863,12.085876,27.020714,42.718094,-8.187623,-3.054274,10.424124,25.727815,28.507362,54.197868,61.483712,63.594057,44.347874,71.513189,76.150695,73.529069,53.857907,78.549019,83.286165,81.502961,58.591397,78.635272,85.118534,85.279579,13.574181,27.014557,36.787011,44.606255,-2.261535,23.12629,44.391129,61.528153,-8.939735,20.663727,44.630928,63.080841,-8.195983,16.272377,37.829453,56.74022,-3.382003,12.323525,27.248635,42.937546,-7.849082,-2.621539,11.042703,26.438859,29.15978,54.967191,62.006541,63.94338,45.169982,72.419229,76.774757,73.990283,54.705098,79.509621,84.047968,82.001201,59.497893,79.605902,85.904321,85.722997,-196.351204,337.166959,-196.401856,336.454038
14,-0.081711,-0.259759,-0.081092,0.022786,13.685257,26.987961,36.54316,44.388268,-2.060211,23.249497,44.473137,61.80819,-8.944954,21.013893,44.907692,63.505165,-8.306328,16.584686,38.10244,57.056488,-3.55323,12.17585,27.107895,42.839905,-7.984551,-2.773236,10.70315,25.855342,29.114726,54.779025,61.927512,63.9674,44.92461,72.050121,76.474131,73.738019,54.292037,78.990744,83.642292,81.816949,58.839176,78.953793,85.352284,85.41601,13.619567,27.013389,36.715942,44.588768,-2.069573,23.265747,44.509758,61.730117,-8.903092,20.927307,44.845573,63.341125,-8.256775,16.465393,38.012741,56.934059,-3.520409,12.267837,27.212928,42.925712,-7.821097,-2.57724,11.03328,26.307615,29.396939,55.25627,62.242242,64.12458,45.281726,72.516325,76.800655,73.986615,54.692587,79.483019,84.02596,82.042425,59.333736,79.48954,85.805989,85.696321,-196.42202,337.324698,-196.472053,336.894322
15,0.05777,-0.311024,0.022865,-0.16554,13.602905,26.842987,36.374428,44.171287,-2.058563,23.229698,44.404632,61.693909,-9.031792,20.986885,44.775055,63.337418,-8.447388,16.49865,37.913727,56.860222,-3.747849,12.001877,26.869697,42.599716,-7.830854,-2.556418,10.975086,26.075902,29.475052,55.299754,62.372288,64.3453,45.21191,72.389723,76.721552,73.963976,54.478621,79.255789,83.903322,82.066062,58.934445,79.194891,85.618131,85.674497,13.607506,26.922958,36.559982,44.383552,-1.981133,23.352768,44.523537,61.724945,-8.936463,21.025749,44.813049,63.308945,-8.367737,16.49453,37.933937,56.864433,-3.69841,12.078918,26.959717,42.69564,-7.677281,-2.385987,11.212566,26.354643,29.693142,55.642827,62.565665,64.398035,45.455614,72.711196,76.930627,74.105681,54.744272,79.607507,84.183694,82.24199,59.247322,79.56159,85.951436,85.909408,-195.896484,337.462004,-195.981422,337.177112
16,-0.032456,-0.309172,0.026184,-0.240901,13.573426,26.86052,36.469712,44.284653,-1.976211,23.358216,44.546174,61.82705,-9.053123,21.02781,44.77945,63.363488,-8.528434,16.530442,37.928994,56.861001,-3.870666,12.006226,26.941842,42.732651,-7.640169,-2.264721,11.32258,26.30034,29.981764,55.919493,62.809098,64.61941,45.629429,72.922802,77.134267,74.247065,54.769268,79.645175,84.24742,82.364972,59.091254,79.455428,85.850128,85.850165,13.569809,26.858894,36.50425,44.334732,-1.967949,23.38694,44.543404,61.765755,-9.030876,20.978531,44.69886,63.228447,-8.525505,16.423805,37.814758,56.749695,-3.904839,11.953354,26.852028,42.619057,-7.511073,-2.13155,11.533483,26.578674,30.131447,56.145698,62.953705,64.699464,45.785918,73.109647,77.260547,74.388807,54.934056,79.860906,84.437674,82.526647,59.298279,79.695576,86.09298,86.071219,-195.559651,337.445488,-195.585949,337.228867
