,0x_L,0y_L,1x_L,1y_L,2x_L,2y_L,3x_L,3y_L,4x_L,4y_L,5x_L,5y_L,6x_L,6y_L,7x_L,7y_L,8x_L,8y_L,9x_L,9y_L,10x_L,10y_L,11x_L,11y_L,12x_L,12y_L,13x_L,13y_L,14x_L,14y_L,15x_L,15y_L,16x_L,16y_L,17x_L,17y_L,18x_L,18y_L,19x_L,19y_L,20x_L,20y_L,0x_R,0y_R,1x_R,1y_R,2x_R,2y_R,3x_R,3y_R,4x_R,4y_R,5x_R,5y_R,6x_R,6y_R,7x_R,7y_R,8x_R,8y_R,9x_R,9y_R,10x_R,10y_R,11x_R,11y_R,12x_R,12y_R,13x_R,13y_R,14x_R,14y_R,15x_R,15y_R,16x_R,16y_R,17x_R,17y_R,18x_R,18y_R,19x_R,19y_R,20x_R,20y_R,x_Body,y_Body
6,917.583767,698.342782,935.845654,678.080941,951.490242,670.22572,958.320671,666.81811,957.780006,665.566454,932.774059,697.562788,960.935898,721.741718,980.755989,725.818998,991.985962,725.076277,924.139183,717.482681,951.937637,742.205594,971.312119,743.144806,985.583931,740.015233,915.151714,730.243638,939.59903,750.926395,958.113956,750.425204,969.160103,748.421032,908.09269,739.647139,911.806892,753.734124,911.286106,756.159656,909.728348,756.074218,880.894558,692.236407,906.113857,675.79047,931.970604,675.524968,955.410164,681.870205,976.404007,686.104023,929.666428,708.412397,962.815567,724.189652,980.816551,729.991746,993.858376,733.937893,919.735268,726.437503,957.112438,741.748925,977.708084,745.273169,990.743248,745.816659,911.548737,738.012902,945.804989,753.710968,964.938194,755.394507,977.104729,753.510094,905.421284,743.822998,932.282581,757.155665,947.180717,757.469629,957.178356,754.233179,955.101522,405.881185
7,919.495743,698.581065,936.996655,677.88571,951.7668,670.243764,958.573402,667.038707,958.12001,665.745234,932.636799,698.533677,960.324841,722.440708,979.903267,726.012969,990.905228,724.870697,923.967842,718.365625,951.666286,742.706551,970.803841,743.458609,984.74025,740.206178,915.050846,730.824289,939.001842,751.408863,956.830742,750.585384,967.16629,748.427035,908.34906,739.842912,911.354507,753.887525,910.620735,755.903626,908.77874,755.616425,879.782089,691.434319,905.733501,675.651062,931.90979,675.410322,955.655685,681.893744,976.566261,686.186818,929.64727,708.595092,962.648392,724.024,980.644157,729.784412,993.693512,733.657645,919.604668,726.5891,956.807533,741.702662,977.493668,745.217977,990.749039,745.539808,911.23597,738.046543,945.328686,753.689158,964.42749,755.422442,976.717506,753.325188,904.812698,743.68033,931.570965,757.039463,946.533245,757.44714,956.673065,754.202748,954.163851,405.945177
8,929.794178,697.485427,938.846741,681.804515,946.784981,678.647414,949.942646,679.913779,946.990643,681.481894,930.0592,703.7011,956.507824,724.63633,975.55917,727.371651,986.910416,726.098246,923.308067,720.72433,950.515537,742.269456,969.302696,742.704155,982.683105,739.440794,917.174767,731.359282,940.425339,749.581063,958.041664,748.315748,968.196007,746.088472,913.472923,738.99519,916.739021,751.96006,917.970577,752.946523,917.721657,752.059527,878.949898,690.917357,905.35984,675.464415,931.801105,675.30111,955.773903,681.912764,976.681068,686.308467,929.693974,708.679789,962.745918,724.091074,980.608269,729.873086,993.433502,733.730671,919.562817,726.630547,956.768681,741.712925,977.312645,745.208331,990.448997,745.435771,911.036728,737.998427,945.141117,753.698013,964.152031,755.489763,976.355164,753.373971,904.370281,743.556841,931.163269,756.911171,946.193573,757.397208,956.30262,754.24937,953.651213,405.992663
9,934.001255,697.321146,941.604996,681.773702,947.643723,678.600187,950.035583,680.228311,946.82119,682.112378,929.804958,703.759294,954.786461,724.151256,974.47633,727.092551,986.162224,726.071076,923.076508,720.758404,949.168156,741.516571,968.643654,742.153835,983.02018,739.025967,917.226402,731.448537,939.223572,749.203855,957.311794,747.990262,968.103401,745.98793,913.898918,739.057002,915.423271,751.880068,916.546612,753.245086,916.621742,752.770818,878.204052,690.458206,905.004124,675.27641,931.546566,675.117921,955.530064,681.776567,976.445412,686.245432,929.722321,708.735611,962.738892,724.271743,980.560776,730.001329,993.365501,733.693386,919.52179,726.615492,956.622356,741.638812,977.125214,745.151595,990.365959,745.342429,910.794857,737.903443,944.862991,753.637312,963.819351,755.511598,976.046104,753.388186,903.801098,743.460548,930.533672,756.862585,945.588718,757.434913,955.702457,754.325792,953.447296,406.03029
10,936.328217,697.705777,943.350563,681.897943,948.188793,678.482936,950.1912,680.14895,946.959766,682.19868,930.448711,703.410663,954.594749,723.445214,974.383472,726.653926,986.011391,725.925308,923.664036,720.610141,948.981525,740.953148,968.472267,741.75757,983.214729,738.914915,917.832401,731.54672,938.828842,749.040414,956.802532,747.769047,967.73291,746.003183,914.547935,739.255283,915.104073,752.057699,916.264103,753.399857,916.612198,753.027243,877.719189,690.182231,904.780197,675.235729,931.440674,675.06179,955.525246,681.76455,976.440948,686.315309,929.871838,708.765708,962.868095,724.260356,980.557617,729.979346,993.231697,733.598501,919.715275,726.509133,956.727859,741.36522,977.100861,744.952993,990.354218,745.158548,910.877838,737.749351,944.877628,753.470401,963.710793,755.524676,975.947937,753.492396,903.6381,743.339134,930.288425,756.888928,945.307022,757.573839,955.407726,754.495828,953.335012,406.069456
11,940.384003,697.835688,946.345802,682.000017,949.245701,678.691133,950.005417,680.525627,946.086456,682.588548,930.924248,703.452345,954.347076,723.245748,974.212612,726.703981,985.565392,726.181659,924.253075,720.602608,948.727249,740.520635,967.956184,741.436098,982.630943,738.805703,918.7542,731.547844,938.85078,748.691894,956.541046,747.418971,967.122986,745.968442,915.961315,739.205549,915.659077,751.83257,916.462601,753.340305,916.36219,753.261054,877.346157,689.86639,904.587421,675.127011,931.295483,674.996112,955.38596,681.719225,976.41465,686.422013,929.688389,708.778466,962.656906,724.333728,980.405479,730.005726,993.110847,733.535108,919.651188,726.47627,956.659882,741.290737,977.083717,744.87609,990.400887,745.0534,910.883835,737.675917,944.892895,753.425002,963.742744,755.500705,976.021797,753.483479,903.635525,743.247138,930.220333,756.889645,945.25779,757.623227,955.380054,754.56978,953.262783,406.10537
12,937.213612,698.548028,944.160164,682.594575,948.364403,678.739496,950.353569,680.412439,947.141132,682.732611,931.798176,702.328216,955.910191,721.998229,975.705288,725.676651,986.990501,725.538084,924.855915,719.904766,950.164215,739.68698,969.252663,740.752261,983.858849,738.342748,919.017998,731.495146,940.021397,748.295037,957.51955,747.063314,968.070694,745.841965,915.683064,739.642013,917.095058,752.553456,918.855583,753.70336,919.834179,753.256855,877.005318,689.659118,904.261951,674.936313,930.995373,674.773737,955.103142,681.595342,976.125069,686.41942,929.560192,708.79399,962.512733,724.402568,980.22773,730.050557,992.984917,733.586064,919.610527,726.446,956.527176,741.132273,976.947647,744.757479,990.341766,745.047867,910.896423,737.614982,944.793777,753.253422,963.619354,755.423616,975.955719,753.587887,903.645802,743.201579,930.116913,756.817112,945.144482,757.616805,955.343159,754.712992,953.247402,406.141787
13,933.718552,700.585038,947.067638,679.274724,955.40451,670.727516,959.037106,668.191748,956.884678,667.924258,935.42926,698.557439,959.615147,720.356162,979.664223,724.580446,990.207504,724.606628,926.339344,718.841424,951.477207,739.978738,970.431747,741.137324,985.191238,738.962574,918.021732,731.939304,938.489525,749.806749,955.531723,748.743641,965.499527,747.934217,912.212837,740.994977,912.165951,754.17853,911.616096,755.896377,910.676456,755.977183,876.870483,689.649893,904.014587,674.944118,930.771114,674.634378,954.994881,681.468642,976.068695,686.412763,929.27512,708.700735,962.347504,724.35849,980.193146,730.08447,993.038795,733.702365,919.466354,726.418113,956.717125,741.015688,977.266983,744.689838,990.703903,745.112137,910.827072,737.668223,945.145374,753.151781,964.00415,755.256013,976.269791,753.449838,903.656284,743.353658,930.471165,756.983888,945.560932,757.699761,955.776237,754.752858,953.224325,406.171705
14,938.592785,702.647749,946.648132,683.928692,951.722683,677.887612,953.446907,678.606832,949.362717,681.254047,935.408363,702.034531,959.99818,721.083606,979.084259,725.239014,989.614632,725.833213,927.311028,720.751772,952.748314,738.899848,971.146957,740.653423,985.116554,739.179293,920.473549,732.861831,940.369057,748.126841,956.879997,747.663676,966.878906,747.248355,916.373726,741.447608,915.557728,753.085473,915.067646,754.349418,914.591412,754.381997,876.826,689.627971,903.741405,674.804464,930.619858,674.513064,955.02293,681.466209,976.133949,686.457137,929.292515,708.701451,962.423927,724.363739,980.19175,730.13597,992.953423,733.8611,919.56356,726.435428,956.982719,740.890446,977.495407,744.594434,990.830841,745.131613,910.943012,737.706027,945.5159,752.957601,964.31218,755.04353,976.477501,753.356965,903.772419,743.399748,930.841587,756.95552,945.930782,757.635281,956.149338,754.779176,953.211039,406.195584
15,937.041332,703.897145,945.468418,684.537008,951.147205,678.08698,953.31562,678.754366,949.273212,681.726018,935.889576,702.333353,961.097729,720.567842,979.78759,724.447584,990.019913,725.129135,927.560875,721.204884,954.090992,738.467706,972.021515,740.163656,985.376266,738.835244,920.470791,733.413595,941.099716,747.832724,956.956581,747.320862,966.327141,747.075639,916.041275,741.955233,916.320042,753.257757,916.080997,754.068058,915.767452,753.732173,876.794243,689.597775,903.555714,674.654904,930.493023,674.414843,954.997593,681.477201,976.139099,686.561347,929.327248,708.719815,962.4963,724.388031,980.253662,730.223334,992.955093,734.038645,919.624306,726.501353,957.220905,740.870834,977.742622,744.612983,990.969978,745.273095,910.973991,737.762516,945.782627,752.840818,964.540421,754.847213,976.560883,753.192055,903.768906,743.411777,931.026821,756.890373,946.147934,757.489982,956.352688,754.643659,953.208166,406.213942
