,vel_0x_L,vel_0y_L,vel_0x_R,vel_0y_R,posFromWrist_1x_L,posFromWrist_2x_L,posFromWrist_3x_L,posFromWrist_4x_L,posFromWrist_5x_L,posFromWrist_6x_L,posFromWrist_7x_L,posFromWrist_8x_L,posFromWrist_9x_L,posFromWrist_10x_L,posFromWrist_11x_L,posFromWrist_12x_L,posFromWrist_13x_L,posFromWrist_14x_L,posFromWrist_15x_L,posFromWrist_16x_L,posFromWrist_17x_L,posFromWrist_18x_L,posFromWrist_19x_L,posFromWrist_20x_L,posFromWrist_1y_L,posFromWrist_2y_L,posFromWrist_3y_L,posFromWrist_4y_L,posFromWrist_5y_L,posFromWrist_6y_L,posFromWrist_7y_L,posFromWrist_8y_L,posFromWrist_9y_L,posFromWrist_10y_L,posFromWrist_11y_L,posFromWrist_12y_L,posFromWrist_13y_L,posFromWrist_14y_L,posFromWrist_15y_L,posFromWrist_16y_L,posFromWrist_17y_L,posFromWrist_18y_L,posFromWrist_19y_L,posFromWrist_20y_L,posFromWrist_1x_R,posFromWrist_2x_R,posFromWrist_3x_R,posFromWrist_4x_R,posFromWrist_5x_R,posFromWrist_6x_R,posFromWrist_7x_R,posFromWrist_8x_R,posFromWrist_9x_R,posFromWrist_10x_R,posFromWrist_11x_R,posFromWrist_12x_R,posFromWrist_13x_R,posFromWrist_14x_R,posFromWrist_15x_R,posFromWrist_16x_R,posFromWrist_17x_R,posFromWrist_18x_R,posFromWrist_19x_R,posFromWrist_20x_R,posFromWrist_1y_R,posFromWrist_2y_R,posFromWrist_3y_R,posFromWrist_4y_R,posFromWrist_5y_R,posFromWrist_6y_R,posFromWrist_7y_R,posFromWrist_8y_R,posFromWrist_9y_R,posFromWrist_10y_R,posFromWrist_11y_R,posFromWrist_12y_R,posFromWrist_13y_R,posFromWrist_14y_R,posFromWrist_15y_R,posFromWrist_16y_R,posFromWrist_17y_R,posFromWrist_18y_R,posFromWrist_19y_R,posFromWrist_20y_R,posFromBody_0x_L,posFromBody_0y_L,posFromBody_0x_R,posFromBody_0y_R
6,-0.368602,-2.334586,0.335644,-0.194662,4.786743,8.939884,15.760128,22.361686,-11.634053,8.622711,28.440547,43.094478,-17.055851,9.301918,32.981918,53.666988,-17.985112,6.09106,27.460269,45.595607,-16.674225,-2.574212,13.115764,27.276729,-20.459727,-34.141309,-37.496233,-36.42043,-14.374409,-6.572652,-0.089451,3.802541,3.148221,13.299347,19.39084,21.887483,17.434389,26.580465,29.80517,30.400531,29.261199,37.852398,38.533999,36.775495,24.84494,49.656395,72.093784,92.304989,48.413292,82.768295,101.476238,115.52354,40.446727,78.734298,100.066486,114.638706,33.785465,68.972534,88.941913,102.557567,28.521526,55.53281,71.620296,84.61211,-15.435194,-15.760767,-7.964518,-4.349106,18.571832,33.614146,39.579285,43.262635,36.507795,49.43922,53.222693,54.109367,48.086985,60.945113,63.673814,62.901564,54.132005,67.066814,70.066983,69.664296,-28.555521,312.332058,-91.817362,283.401718
7,-7.339165,-2.312442,0.439041,0.115857,6.657291,13.745739,22.787658,30.556721,-4.803326,16.855385,36.451401,50.951992,-9.95953,16.954559,40.469604,61.027782,-11.471947,13.644161,35.001835,53.245022,-11.200985,4.411892,20.321937,34.654621,-21.264495,-34.470487,-36.458764,-33.762877,-13.639579,-5.089987,1.652491,5.735354,4.480931,15.349263,21.52076,24.230837,19.168131,28.86549,31.904289,32.552656,31.078205,40.23027,40.637625,38.661649,24.680923,49.148254,71.512825,91.606693,47.331745,81.722614,100.420017,114.49966,39.60704,77.94984,99.389294,114.083896,33.219005,68.46048,88.543442,102.341526,28.202671,55.263119,71.363388,84.452373,-15.372136,-15.935151,-8.238407,-4.424813,18.077828,33.15035,39.208473,43.093278,36.071861,49.13064,53.05457,54.085246,47.775454,60.795478,63.656869,62.995905,53.924226,66.874399,69.982767,69.67767,-35.456091,309.948702,-90.939726,283.446661
8,6.195316,-3.517019,0.293369,0.283891,6.148213,11.507504,17.461304,22.654987,-9.180794,10.085312,29.427212,44.130913,-15.078071,7.867115,31.721031,52.923775,-17.883499,4.279587,26.836029,46.248917,-19.18166,-4.506512,12.468544,27.517307,-21.933055,-34.197181,-35.125055,-31.132236,-13.87591,-4.289826,2.865577,6.985997,4.782187,16.701659,23.523572,26.14195,20.157928,30.838551,34.399463,35.200402,33.033815,43.093809,43.171627,40.71732,24.449467,48.678246,71.027813,91.155911,46.802342,81.093441,99.766754,113.793205,39.200295,77.535862,99.040192,113.707535,32.957302,68.205849,88.364571,102.164658,28.118454,55.127564,71.243042,84.319576,-15.522473,-16.382211,-8.806016,-4.806269,17.324337,32.616666,38.789423,42.774473,35.443291,48.640664,52.65265,53.701456,47.334,60.411058,63.267323,62.555254,53.621946,66.623088,69.764652,69.396694,-28.925652,306.395513,-90.311234,283.694382
9,-2.881393,-3.332781,0.425366,0.169789,6.694416,13.356651,20.547992,26.184173,-7.400311,12.53976,32.11734,46.887703,-12.977806,10.469066,34.445869,55.626686,-15.698044,7.304477,29.996555,49.420166,-17.047348,-1.347679,15.835212,31.089271,-22.25349,-33.565968,-32.695583,-27.033577,-12.716608,-2.174738,5.120073,9.168948,6.457747,19.725576,26.720033,29.406275,22.262876,34.072964,37.5381,38.310104,35.305588,46.411634,46.267027,43.523926,24.135589,48.212619,70.513549,90.621391,46.347908,80.694385,99.395496,113.424991,38.811801,77.131336,98.720249,113.333187,32.651413,67.876453,88.071762,101.81908,27.906623,54.797905,70.894466,83.933715,-15.610653,-16.558991,-9.043237,-5.108673,17.102184,32.415249,38.565973,42.505414,35.292904,48.580074,52.624393,53.607237,47.223751,60.369599,63.175834,62.381032,53.487145,66.510591,69.65339,69.230239,-31.550262,303.038035,-89.629085,283.839474
10,0.779205,-2.039554,0.188301,0.092848,6.534874,13.009941,19.972595,25.628323,-8.718258,11.300274,30.813148,45.839401,-14.374901,8.408134,33.060734,54.426315,-17.1049,5.204578,28.787556,48.451653,-18.350761,-2.42379,15.100845,30.410751,-21.708753,-32.150241,-30.835316,-24.635191,-11.707545,-1.080447,6.580778,10.777052,7.863421,21.227111,28.558837,30.499948,23.965051,35.608276,39.21613,39.557215,37.20524,48.071683,47.562872,44.384207,23.832573,47.865245,70.177745,90.279556,46.246845,80.613121,99.311016,113.292423,38.666816,77.055244,98.684612,113.247196,32.509071,67.846172,88.132724,101.890926,27.827568,54.78265,70.917434,83.927833,-15.700895,-16.684455,-9.275097,-5.457156,16.854417,32.331033,38.515362,42.386051,35.092919,48.432935,52.485652,53.363458,47.089382,60.230351,62.963746,62.050235,53.3487,66.402552,69.578376,69.12288,-30.590578,300.980826,-89.260305,283.914667
11,0.357811,0.226611,0.171833,0.015857,6.596489,12.720474,19.534836,25.166439,-8.907909,10.948048,30.220436,45.181343,-14.562012,8.253708,32.780857,53.993019,-17.238625,5.144154,28.671101,48.238129,-18.430275,-2.352837,15.105389,30.250957,-21.827387,-32.416274,-31.020764,-24.602179,-12.038354,-1.705447,5.902352,10.147359,7.506788,20.777693,28.165672,30.269595,23.695078,35.176073,38.88358,39.403679,37.07396,47.682112,47.210302,44.166032,23.605865,47.662445,69.998291,90.133209,46.185608,80.639122,99.354606,113.285019,38.57254,76.977825,98.577324,113.044052,32.407642,67.776546,88.031307,101.698059,27.765793,54.672924,70.774807,83.722744,-15.751591,-16.753096,-9.373169,-5.492699,16.903126,32.432712,38.573173,42.303256,35.155103,48.463514,52.48107,53.246553,47.146921,60.221114,62.867206,61.837554,53.363755,66.435441,69.609894,69.114346,-30.068968,301.195334,-88.924673,283.918421
12,1.410873,-1.108024,-0.039688,-0.047424,6.322014,11.97535,18.292466,23.093136,-10.765251,9.336308,28.905945,44.000908,-16.459625,6.664948,31.135357,52.271759,-18.800205,3.807232,27.37151,46.749115,-19.557792,-3.644886,13.968899,29.283097,-21.448697,-31.4452,-29.884866,-23.382066,-11.478463,-0.736386,6.714233,10.709053,7.962864,21.726203,29.136487,31.102583,24.235888,36.236117,40.093282,40.525017,37.701887,48.81081,48.39155,45.132857,23.414978,47.545532,69.939926,90.14907,46.368187,80.853756,99.557899,113.407837,38.659893,77.023956,98.559677,112.933754,32.429706,67.784099,88.007572,101.616577,27.784629,54.651661,70.738243,83.625743,-15.793755,-16.771338,-9.432919,-5.692684,17.004532,32.570304,38.663353,42.243691,35.256472,48.449917,52.407488,53.065402,47.236916,60.149113,62.708,61.587416,53.403485,66.461092,69.638397,69.116223,-28.516898,300.077038,-88.823164,283.860725
13,-3.873836,1.063231,-0.023896,0.015993,7.379425,14.653438,21.922062,27.235874,-5.882984,14.246464,33.177383,47.912327,-11.201225,11.734611,35.652466,56.382854,-13.754631,8.951294,32.00679,51.14407,-15.071892,1.31456,18.61663,33.72551,-22.216848,-32.768931,-31.320723,-24.692348,-12.285479,-2.403499,4.447857,8.184165,7.180029,20.389875,27.432237,29.40436,23.502626,35.070837,38.723189,39.174869,37.055693,47.765697,47.280746,44.097994,23.215783,47.430165,69.890202,90.131447,46.32193,80.957474,99.684586,113.519234,38.62793,77.177628,98.735024,113.110588,32.396817,67.94109,88.204983,101.866722,27.759407,54.766857,70.823754,83.702488,-15.731448,-16.651184,-9.34895,-5.95784,17.081251,32.504849,38.576421,42.073384,35.28237,48.358292,52.274997,52.887178,47.192456,59.990056,62.463012,61.312108,53.290458,66.338209,69.53709,69.073196,-32.274061,301.131785,-88.730387,283.868234
14,-2.883946,-0.128836,-0.245636,-0.002593,8.393727,16.832634,24.536122,29.509209,-2.96545,17.764172,36.846291,51.809098,-8.161457,14.907853,38.727848,59.338967,-10.905155,12.104039,35.192677,54.252228,-12.631519,3.961281,21.387921,36.589325,-22.44646,-32.748158,-31.699204,-25.462548,-12.252937,-2.498681,4.123927,7.618593,7.254784,20.317528,27.115384,28.799885,23.678529,35.207837,38.771601,39.03593,37.249775,48.074758,47.629488,44.339821,23.214192,47.5364,70.063523,90.384018,46.327183,81.104485,99.899002,113.743309,38.600808,77.408581,99.07853,113.537361,32.351544,68.151902,88.527695,102.258545,27.716961,54.890877,70.974564,83.876141,-15.736203,-16.623038,-9.390385,-6.28182,16.93941,32.418274,38.538074,42.042286,35.088325,48.274422,52.207849,52.861032,46.975514,59.828307,62.304535,61.18006,53.059239,66.175409,69.45653,69.066489,-35.025502,300.995529,-88.843518,283.858221
15,4.103257,-0.576107,-0.162815,0.037556,8.522918,16.136261,21.360981,24.133026,-3.786896,13.702228,32.307884,47.121414,-9.325825,9.859085,33.245121,54.032661,-13.270649,7.091606,30.429462,50.240661,-16.732624,-1.300541,16.696907,32.325645,-24.516593,-35.125252,-33.479962,-26.258227,-14.308398,-4.660193,1.558827,4.63674,5.465294,18.860367,25.665892,28.005491,22.402951,34.685404,38.429751,39.308781,36.824191,48.417349,47.874823,44.583427,23.293064,47.686455,70.27343,90.636635,46.280365,81.185555,100.053646,113.946545,38.560616,77.577839,99.342625,113.921963,32.312302,68.291577,88.705776,102.494396,27.673714,54.939926,70.986294,83.891762,-15.68516,-16.557619,-9.355545,-6.497551,16.872374,32.293687,38.463011,42.017056,34.967987,48.20147,52.210332,52.994105,46.820497,59.636585,62.149962,61.090881,52.919449,66.003398,69.317543,68.971271,-30.77544,300.416048,-88.859528,283.892403
16,-7.641312,0.030307,-0.201061,0.096467,9.398483,19.524044,28.22755,33.13908,1.110832,21.218353,40.369423,55.18396,-3.449318,19.286545,42.222839,62.29113,-5.939129,17.22987,39.75285,58.71595,-7.802536,8.913391,26.163437,41.460033,-23.666772,-33.835731,-32.501551,-25.915623,-12.505249,-3.065006,2.803321,5.49612,6.968991,20.135994,26.443601,28.265621,23.493796,35.638756,39.079156,39.452017,37.037774,48.611196,48.529501,45.216591,23.309635,47.825821,70.545341,91.014576,46.122334,81.193863,100.183983,114.15136,38.442959,77.792862,99.723175,114.412468,32.25032,68.558613,89.14373,103.036148,27.699188,55.174095,71.27932,84.257664,-15.705032,-16.629744,-9.520889,-6.769846,16.735424,32.118637,38.344042,41.925998,34.777054,48.003992,51.991834,52.791736,46.62408,59.331574,61.772494,60.691516,52.756205,65.818443,69.13891,68.759343,-38.249645,300.44583,-88.893482,283.988345
