,0x_L,0y_L,1x_L,1y_L,2x_L,2y_L,3x_L,3y_L,4x_L,4y_L,5x_L,5y_L,6x_L,6y_L,7x_L,7y_L,8x_L,8y_L,9x_L,9y_L,10x_L,10y_L,11x_L,11y_L,12x_L,12y_L,13x_L,13y_L,14x_L,14y_L,15x_L,15y_L,16x_L,16y_L,17x_L,17y_L,18x_L,18y_L,19x_L,19y_L,20x_L,20y_L,0x_R,0y_R,1x_R,1y_R,2x_R,2y_R,3x_R,3y_R,4x_R,4y_R,5x_R,5y_R,6x_R,6y_R,7x_R,7y_R,8x_R,8y_R,9x_R,9y_R,10x_R,10y_R,11x_R,11y_R,12x_R,12y_R,13x_R,13y_R,14x_R,14y_R,15x_R,15y_R,16x_R,16y_R,17x_R,17y_R,18x_R,18y_R,19x_R,19y_R,20x_R,20y_R,x_Body,y_Body
5,942.631279,792.295886,968.054249,795.101664,987.244148,811.856008,1002.306198,832.384031,1011.972816,846.399707,989.421593,837.90705,1018.196411,860.473762,1022.038925,863.503583,1021.511833,862.175443,976.170685,847.762885,1003.034065,874.538851,1008.341171,878.076866,1008.800995,875.097198,960.708504,851.337937,977.069023,881.274611,980.176723,889.121013,979.471184,891.172868,943.980778,849.272583,942.917004,876.946055,941.630779,889.205883,939.902229,896.99266,930.783783,797.892844,964.65818,782.348722,995.227821,788.126337,1018.762344,803.59237,1037.04174,815.232817,997.128525,815.768242,1030.522453,839.038194,1039.043266,846.681623,1038.730957,848.592044,982.591713,835.467118,1016.193947,861.849821,1027.87738,869.828542,1030.434013,870.633484,965.982216,850.003078,996.184914,876.514333,1009.121864,884.310397,1013.9263,885.752615,949.338741,858.689274,970.158474,884.362848,981.317665,892.723557,987.587471,894.753306,976.517469,421.994822
6,939.439259,790.583263,974.95816,786.838076,999.85968,800.419844,1018.95266,820.562532,1030.845177,834.884355,998.371078,831.291753,1029.916008,855.554947,1032.399376,857.251095,1029.500816,853.429349,979.010811,846.415293,1008.41613,874.91543,1012.509796,876.493536,1011.254631,871.087028,957.477608,854.776731,974.471169,887.032046,975.75333,894.914042,973.307327,895.751019,935.33765,856.059843,932.04388,886.789775,928.185299,900.23074,924.489979,907.588203,931.521732,798.624636,964.852341,782.947417,995.563866,787.957401,1019.27124,803.064639,1037.683388,814.703208,998.023636,814.195768,1032.072304,836.481467,1040.409966,843.223352,1039.438797,844.337095,983.879997,833.996606,1018.159012,860.102902,1029.944069,867.605095,1031.834976,868.027542,967.427696,849.195568,998.725548,875.579457,1012.105911,882.482696,1016.881393,883.299469,950.974182,858.859718,974.316444,884.342063,986.751411,891.264889,993.516014,891.708257,977.283508,422.098313
7,941.360321,788.8204,978.431396,785.736041,1004.01725,799.276177,1024.366791,819.292573,1035.602417,833.370296,999.250099,833.289391,1032.343872,858.006154,1032.986618,856.711396,1027.414696,849.27882,978.438423,848.436372,1008.805412,878.349852,1011.107025,876.832928,1007.401474,868.342284,955.985619,856.680299,972.369965,891.758497,971.171619,897.535026,966.194515,895.897924,933.370296,857.901018,929.343475,890.255307,925.065708,903.435339,921.231834,909.645813,932.457024,798.856978,965.259521,783.15538,995.816185,788.012976,1019.522552,802.764742,1037.825661,814.585734,998.687714,813.957202,1032.621643,836.12555,1040.588997,842.215154,1039.106804,842.514371,984.672043,833.73576,1018.786285,859.674514,1030.562805,866.75804,1032.172188,866.888086,968.218437,849.306781,999.463943,875.769068,1012.826431,882.112045,1017.304527,882.584992,951.841999,859.372123,975.497452,885.070261,987.934227,891.293232,994.060936,890.893522,977.796083,422.228906
8,936.891655,787.776781,975.33609,783.013724,1003.143517,795.392089,1024.802399,815.612236,1037.160072,830.663714,1000.230103,829.609313,1033.41584,856.054668,1034.779541,855.248208,1029.378799,847.752338,979.498055,846.000972,1011.361427,876.411531,1014.895088,874.904414,1011.8088,866.498009,957.017212,855.291223,976.186386,889.222865,976.679592,895.147483,972.5606,893.575639,934.53392,856.861845,931.755421,888.348948,927.96072,901.794223,924.157276,908.528896,933.209232,798.92641,965.759239,783.225084,996.211418,788.059882,1019.649078,802.815921,1037.905746,814.657204,999.119408,813.954929,1032.926285,836.079768,1040.746582,841.965151,1039.023994,842.08507,984.995522,833.733611,1019.036041,859.516396,1030.736046,866.420957,1032.212357,866.444496,968.457024,849.352106,999.59745,875.721273,1012.891113,881.997832,1017.318672,882.460799,952.014851,859.49161,975.496101,885.186302,987.93663,891.419734,994.096001,890.994434,978.159519,422.354574
9,940.926144,786.878522,979.312065,785.974002,1004.820236,800.496501,1024.562485,821.383417,1034.563362,836.167293,999.199127,834.262824,1030.711601,859.813453,1030.906609,858.467837,1025.039474,851.361056,977.679359,848.791511,1005.812027,879.271131,1007.273575,878.071926,1003.256561,870.427212,954.989353,856.410943,970.035942,891.015281,967.798691,897.062993,962.362804,896.323927,932.483551,857.112243,928.918751,888.379959,924.682732,901.464056,920.943043,908.300395,933.67963,798.997856,966.090454,783.128222,996.592873,787.991116,1019.871071,802.89527,1037.977112,814.883618,999.2864,813.790377,1033.077919,835.552395,1041.039345,841.116947,1039.480499,841.078773,985.211769,833.654879,1019.249016,859.194998,1031.151352,865.958891,1032.705688,865.83234,968.675835,849.281191,999.76712,875.572059,1013.190926,881.79019,1017.680237,882.211587,952.217297,859.366442,975.519951,885.128788,987.985565,891.439569,994.235207,891.073759,978.407633,422.478745
10,937.321953,786.343158,976.225937,783.604021,1003.222069,796.954423,1023.783966,817.534378,1035.515831,832.405162,999.605736,831.393875,1031.310677,857.330518,1032.565269,857.540605,1027.571365,851.621964,978.875999,846.736877,1008.290977,876.461549,1011.149391,876.560967,1008.102081,870.114657,956.446014,854.826959,972.821503,888.014236,971.996326,896.257397,967.403481,897.459641,933.947514,855.168253,930.280849,885.806869,925.87159,899.691387,921.680008,907.807318,933.96888,799.199495,966.249275,783.226504,996.748947,787.961698,1019.948616,802.789763,1038.019386,814.893313,999.364403,813.845026,1033.121613,835.531906,1041.000938,840.876738,1039.36132,840.705541,985.242737,833.723941,1019.213036,859.005251,1031.152565,865.647805,1032.703354,865.450932,968.709023,849.396072,999.713196,875.530649,1013.084541,881.682398,1017.549454,882.07975,952.283134,859.543184,975.451515,885.270554,987.839172,891.571776,994.061623,891.173856,978.606468,422.590053
11,941.888603,786.263031,980.386139,786.25777,1005.404961,800.868844,1024.481552,821.542943,1034.79055,835.921712,998.575996,835.13842,1029.201233,860.228292,1030.278534,860.025281,1025.567505,854.305316,976.933273,849.046058,1003.662735,878.962046,1005.385643,879.49862,1001.895103,873.701195,954.36462,855.808136,967.969082,889.68414,965.798859,897.364076,960.795502,898.674864,932.132812,855.40803,927.449146,886.109508,923.223209,900.072054,919.767471,908.604392,934.131065,799.395911,966.162346,783.33211,996.671928,787.85345,1019.848068,802.454014,1037.95237,814.553661,999.052322,813.400386,1033.119507,834.555657,1041.166122,839.729811,1039.699974,839.524021,985.036743,833.447385,1019.222237,858.445397,1031.388039,865.201744,1033.043381,865.022409,968.620926,849.290108,999.719902,875.305767,1013.098366,881.549524,1017.531029,881.96671,952.341831,859.5985,975.530571,885.43754,987.802551,891.662648,993.911865,891.061631,978.777958,422.678239
12,937.218166,784.938423,976.434654,783.694597,1003.334656,797.634678,1023.456161,818.580788,1035.240646,833.478903,999.323639,832.284675,1029.774948,858.485955,1031.364761,859.244213,1027.143951,853.921747,978.223022,847.051396,1005.659431,877.046857,1008.369164,878.256362,1005.833427,873.043219,955.757561,854.368561,970.854572,887.028094,969.737572,895.970394,965.473629,898.376375,933.457008,853.906087,929.568913,883.752704,925.320065,897.787721,921.566769,906.79082,934.355175,799.493736,966.150536,783.427366,996.578613,787.712536,1019.759857,802.12155,1037.981415,814.217443,998.825569,813.273019,1033.027405,834.085008,1041.155571,839.224087,1039.80629,839.08116,984.925667,833.362874,1019.140823,858.150304,1031.434685,864.970378,1033.187599,864.841567,968.653976,849.265198,999.683441,875.195308,1013.04023,881.526071,1017.502831,882.011726,952.522705,859.667413,975.561447,885.541836,987.710541,891.848418,993.84288,891.304767,978.916414,422.747303
13,942.32967,784.728459,980.9366,785.539872,1005.999481,800.7592,1024.923271,822.1077,1035.118744,836.563509,999.710243,835.562905,1029.976799,860.245903,1030.817963,860.242272,1026.300819,854.701297,977.796844,849.189233,1003.205269,878.313407,1004.979584,879.606226,1002.009155,874.60527,954.698982,855.478747,966.179729,888.807531,963.190384,898.47956,957.978344,901.63466,931.71595,854.305785,925.757767,884.33322,921.008354,898.689141,917.2859,908.125666,934.641701,799.484152,966.290474,783.448373,996.721985,787.703421,1019.966812,802.064035,1038.225952,814.123977,998.589638,812.8967,1032.951874,832.999954,1041.347717,838.209404,1040.36451,838.27418,984.893921,833.045934,1019.251694,857.475879,1031.785858,864.548808,1033.736687,864.643014,968.816734,849.003228,999.895958,874.746345,1013.363663,881.175514,1017.908089,881.764909,952.854332,859.456239,975.762268,885.341221,987.839424,891.73886,994.046356,891.285699,979.021425,422.797176
14,936.418728,784.431674,976.508286,781.711643,1004.492729,795.057389,1025.796638,816.127926,1038.87204,831.303053,1000.599358,830.560405,1032.660255,857.029151,1035.020348,856.859177,1030.668594,850.496674,979.357063,846.342057,1009.115364,875.907339,1013.116768,875.692324,1010.7323,869.130701,956.702122,854.701346,973.6031,887.456618,973.530315,895.436858,969.40274,896.705372,934.062595,855.031328,930.852322,885.043621,927.58358,898.773331,924.357376,907.336064,934.915157,799.58693,966.312401,783.521091,996.626198,787.596865,1019.817032,801.770597,1038.160835,813.820795,998.485451,812.445799,1033.004036,832.366914,1041.391983,837.71261,1040.433197,837.867505,984.852058,832.682397,1019.351486,856.962745,1031.960655,864.236178,1033.914207,864.456676,968.873932,848.85173,1000.025391,874.506309,1013.453018,881.035563,1017.923058,881.687462,953.009571,859.561042,975.971695,885.485915,987.97142,891.853062,994.089775,891.335494,979.084894,422.841865
