,vel_0x_L,vel_0y_L,vel_0x_R,vel_0y_R,posFromWrist_1x_L,posFromWrist_2x_L,posFromWrist_3x_L,posFromWrist_4x_L,posFromWrist_5x_L,posFromWrist_6x_L,posFromWrist_7x_L,posFromWrist_8x_L,posFromWrist_9x_L,posFromWrist_10x_L,posFromWrist_11x_L,posFromWrist_12x_L,posFromWrist_13x_L,posFromWrist_14x_L,posFromWrist_15x_L,posFromWrist_16x_L,posFromWrist_17x_L,posFromWrist_18x_L,posFromWrist_19x_L,posFromWrist_20x_L,posFromWrist_1y_L,posFromWrist_2y_L,posFromWrist_3y_L,posFromWrist_4y_L,posFromWrist_5y_L,posFromWrist_6y_L,posFromWrist_7y_L,posFromWrist_8y_L,posFromWrist_9y_L,posFromWrist_10y_L,posFromWrist_11y_L,posFromWrist_12y_L,posFromWrist_13y_L,posFromWrist_14y_L,posFromWrist_15y_L,posFromWrist_16y_L,posFromWrist_17y_L,posFromWrist_18y_L,posFromWrist_19y_L,posFromWrist_20y_L,posFromWrist_1x_R,posFromWrist_2x_R,posFromWrist_3x_R,posFromWrist_4x_R,posFromWrist_5x_R,posFromWrist_6x_R,posFromWrist_7x_R,posFromWrist_8x_R,posFromWrist_9x_R,posFromWrist_10x_R,posFromWrist_11x_R,posFromWrist_12x_R,posFromWrist_13x_R,posFromWrist_14x_R,posFromWrist_15x_R,posFromWrist_16x_R,posFromWrist_17x_R,posFromWrist_18x_R,posFromWrist_19x_R,posFromWrist_20x_R,posFromWrist_1y_R,posFromWrist_2y_R,posFromWrist_3y_R,posFromWrist_4y_R,posFromWrist_5y_R,posFromWrist_6y_R,posFromWrist_7y_R,posFromWrist_8y_R,posFromWrist_9y_R,posFromWrist_10y_R,posFromWrist_11y_R,posFromWrist_12y_R,posFromWrist_13y_R,posFromWrist_14y_R,posFromWrist_15y_R,posFromWrist_16y_R,posFromWrist_17y_R,posFromWrist_18y_R,posFromWrist_19y_R,posFromWrist_20y_R,posFromBody_0x_L,posFromBody_0y_L,posFromBody_0x_R,posFromBody_0y_R
40,6.72084,-33.842882,-10.503571,-41.263984,-36.281524,-64.19149,-81.546901,-88.323028,-54.970276,-79.909195,-92.804615,-103.011474,-36.627228,-56.959533,-70.089534,-80.39344,-19.256149,-31.981384,-42.206737,-50.952324,-5.21157,-10.39064,-15.297912,-21.398941,-0.157723,15.091183,35.328152,52.550367,35.603892,65.797954,82.733215,93.573672,50.467809,86.523813,106.84186,120.197412,60.147804,94.858303,114.467505,127.433757,64.556981,95.353677,111.549687,123.021332,32.88683,49.330639,52.241856,50.918415,52.884819,74.242676,79.377949,79.559841,35.676419,51.884537,54.448849,53.345158,17.590416,32.633675,35.795735,35.344391,0.213192,14.672688,20.063347,20.598221,13.716705,37.008022,58.894406,74.741538,49.447828,85.311664,105.676049,118.103393,56.849553,101.735817,125.96138,138.660649,60.843323,100.736312,105.21891,101.048448,63.180712,91.108052,92.350409,87.886113,76.859012,346.747906,-103.363404,303.131602
41,7.07016,-38.091223,-12.769226,-49.60828,-36.271225,-65.213997,-83.419842,-91.175011,-53.74704,-77.638435,-89.761597,-99.257068,-34.267822,-52.136947,-63.993988,-73.341991,-15.289146,-23.908058,-31.389244,-38.254783,0.351952,-0.1959,-2.127891,-5.762626,2.07574,18.404648,38.956952,56.160406,30.261703,56.909353,73.41982,85.005728,43.433116,75.053525,96.35722,112.124953,52.797331,84.125451,104.72156,119.747745,58.104458,87.272141,104.057916,116.999531,34.893151,52.352829,55.103325,53.163929,56.300846,76.815594,83.874745,86.524613,37.088196,51.226376,55.259285,56.574658,16.968704,30.348221,34.259846,35.214363,-2.077011,10.833859,16.939522,18.728863,13.436914,36.628874,59.119955,75.918229,47.966065,84.013745,104.533579,118.26266,56.244621,101.481392,125.941978,140.494525,60.714956,101.005865,102.520689,96.331704,63.806886,92.135813,92.070197,86.282739,83.196098,309.102716,-116.865704,253.969355
42,6.940041,-43.835037,-15.497989,-55.863499,-28.723847,-53.273667,-67.94854,-73.802925,-49.448273,-70.907273,-81.572617,-89.90054,-34.853554,-52.18943,-62.377625,-70.2258,-19.432617,-29.070374,-35.114914,-40.492127,-6.157952,-8.142105,-9.590859,-12.139229,6.150514,23.593635,44.161931,61.28311,26.326189,49.225416,63.857126,74.887911,35.940815,61.573584,81.112649,96.558638,43.399425,69.046174,88.332162,102.935319,48.138003,72.286823,87.769097,100.319349,35.940158,55.343021,59.739315,58.609657,60.180679,81.366577,89.825019,94.25188,41.182983,55.464614,60.427494,62.943649,21.286365,35.664859,39.707862,40.722805,2.2168,16.043953,22.115638,23.78437,12.873763,36.386171,59.975471,77.736421,47.124593,84.067505,104.224964,118.989772,55.68709,100.744797,124.807154,140.42455,60.722787,101.108347,103.114852,97.74327,64.57453,94.145988,95.155471,90.040474,89.600327,266.046064,-132.899505,198.884241
43,3.495414,-38.618522,-11.240044,-46.368489,-27.266258,-51.517913,-66.30178,-73.449874,-50.703895,-69.758193,-77.348373,-82.464717,-37.597709,-54.015129,-61.056838,-66.300132,-23.601013,-33.424163,-37.250999,-40.66999,-11.152175,-14.610626,-15.630363,-16.81414,5.470494,20.128745,37.664651,52.9028,15.284857,33.995602,46.021347,54.668628,21.966523,42.486988,58.485334,70.771184,28.109281,48.579914,64.002289,75.166035,32.732597,52.158338,64.945218,75.065048,36.152962,56.901855,62.581444,62.365585,62.717033,83.081921,91.212845,95.683239,44.68,59.893169,65.278107,68.260025,25.351913,40.231613,43.839695,44.54274,6.651226,20.566475,26.255699,27.609592,10.350931,32.48218,56.039567,74.576646,40.842717,76.540395,97.262438,113.009534,49.505336,92.94375,115.482539,130.478602,55.430523,95.182363,97.772904,93.205843,60.35949,89.79874,91.158546,86.448879,92.491333,228.719806,-144.743957,153.808016
44,1.090462,-34.613564,-8.235718,-40.595943,-25.572544,-48.670715,-63.079136,-71.566429,-50.881256,-67.214161,-72.752952,-75.947651,-39.432335,-54.591842,-59.570743,-62.993694,-26.671772,-36.440998,-38.943855,-40.833996,-14.691524,-19.305793,-20.352688,-20.764503,3.286462,13.838373,27.949923,41.508201,2.740879,16.954706,27.830152,35.573635,6.738749,21.789189,35.486579,45.578918,11.827989,26.635466,39.589233,48.523931,16.835281,31.02216,41.427253,49.513333,35.774517,57.961281,65.089897,66.716355,64.513596,83.691284,91.101826,95.027378,47.554012,64.137749,69.901921,72.896301,28.798805,43.620403,46.534367,47.056343,10.442986,23.520378,28.522556,29.840309,9.248019,30.527742,54.298674,73.367733,33.882932,69.380953,91.087483,107.280973,41.542089,83.927214,104.98135,118.238904,47.993395,88.520543,92.568912,88.695012,54.115745,85.331332,87.498586,83.047653,93.022465,195.681266,-153.539005,114.787097
45,-1.407142,-29.58771,-6.081425,-33.181825,-24.053021,-45.780487,-60.498837,-71.549126,-48.799691,-62.323689,-67.357865,-70.179646,-38.58696,-51.694382,-55.733677,-58.087223,-27.159634,-37.068478,-39.971558,-41.375073,-15.928997,-21.609787,-23.545018,-23.891236,0.26268,5.942372,15.900491,27.378423,-7.707032,0.821855,9.445313,16.047068,-5.74532,3.225928,14.38156,22.711987,-1.612778,6.137528,16.539385,23.824705,3.540788,10.70709,18.879485,25.572501,35.852566,59.37053,68.731717,73.062985,66.664261,84.238713,91.546463,95.844178,50.682301,68.267464,72.914589,74.792908,32.72857,47.836796,49.138115,48.641156,14.890675,27.428719,31.146252,31.819268,8.89033,29.290845,53.191904,72.065312,26.991667,61.702629,83.924997,100.075558,33.56561,74.966408,92.974545,102.819796,40.500261,80.587412,85.675053,82.424931,47.888074,79.401854,81.995606,77.840939,91.32145,167.646823,-159.914303,83.158539
46,-1.51046,-24.278675,-3.039299,-24.675415,-23.52808,-42.693329,-56.189049,-68.366867,-49.024796,-60.818825,-65.278656,-67.254387,-40.100293,-52.483132,-55.861245,-57.332589,-30.211338,-41.102257,-44.834976,-46.206654,-20.063473,-27.606961,-30.970379,-32.013005,-1.820105,-0.539272,5.540624,14.80783,-15.560971,-10.095707,-2.690237,2.870697,-15.520462,-9.232788,0.227751,6.832085,-12.309747,-8.436739,0.078501,5.633503,-7.339789,-4.883948,1.532034,6.66563,36.457032,60.339238,71.046811,77.501313,69.001442,85.383511,92.874081,97.444336,54.179993,72.663357,78.61409,81.130406,36.882912,52.851368,54.662774,54.381981,19.137795,32.10355,35.635792,36.034939,7.571397,26.729054,50.200682,68.180309,19.394705,52.63526,74.955249,91.132604,24.663479,64.30586,81.659695,91.423102,31.879119,70.906584,77.436072,75.849056,40.649678,71.652714,74.551013,71.309598,89.519789,144.878992,-163.244803,59.993968
47,-0.947228,-17.436599,0.992924,-19.110444,-30.262173,-52.676216,-69.043213,-83.988991,-53.508888,-66.154129,-71.50708,-73.773994,-40.871074,-53.539329,-57.88884,-59.870567,-28.033115,-38.505546,-43.113098,-44.842243,-15.281994,-21.850422,-25.525669,-26.917225,-5.147379,-7.862686,-5.720182,0.231903,-24.846251,-22.10549,-14.74209,-8.982456,-25.082397,-21.211066,-11.646477,-4.833174,-21.234683,-19.799118,-11.605882,-6.025,-14.78195,-14.091176,-8.099956,-3.150525,36.133187,60.260834,71.824894,79.304535,71.572357,86.756458,94.971829,100.454544,57.262528,75.583351,82.493099,86.130078,39.963398,56.129151,58.029202,57.825657,21.809612,34.745693,38.16663,38.60986,5.826392,24.383398,47.456192,64.606288,14.093661,45.817145,67.909003,84.218615,19.025555,56.778757,73.470116,83.440677,26.551319,64.382777,70.550927,69.28358,36.077839,65.900812,68.520666,65.701846,88.111204,128.677948,-162.713236,42.119079
48,-3.380905,-14.073747,3.365753,-13.663705,-28.956997,-49.700844,-64.51696,-78.892845,-49.882919,-62.040893,-70.114014,-75.421211,-37.437962,-49.950279,-57.413795,-61.966049,-24.314037,-34.594345,-41.817467,-45.799427,-11.067272,-16.627224,-21.807552,-24.973446,-6.031187,-10.427872,-10.478686,-6.709349,-27.283033,-27.885427,-20.64118,-13.614786,-27.765186,-27.695606,-18.127355,-9.974358,-23.890654,-26.197399,-18.208952,-11.432205,-16.815298,-19.661451,-14.495143,-8.84432,35.085801,59.667881,72.420285,81.649292,72.588353,88.508892,98.399151,105.488789,59.404118,78.544854,87.335186,92.800209,42.514607,59.318516,61.650891,61.680725,24.183724,37.224129,40.617783,41.354382,5.284187,22.758596,44.668044,60.24419,9.707943,39.160284,59.907193,75.44779,13.554049,49.272704,66.269554,77.199482,20.796903,57.214079,65.541739,66.460178,30.653522,59.710673,64.244641,63.431036,84.390198,115.467469,-159.687584,29.318642
49,-1.702526,-11.288864,3.938393,-9.043527,-27.960583,-47.899452,-61.855614,-75.810047,-46.985333,-59.121941,-68.816723,-76.131352,-34.238823,-45.974911,-54.964943,-60.989948,-20.65028,-29.728329,-37.909618,-43.119759,-6.997559,-10.553147,-15.636589,-19.546543,-7.126646,-13.045815,-15.204307,-13.746985,-29.383208,-31.567576,-24.517671,-16.691384,-29.363834,-31.141147,-22.056827,-13.429477,-24.881764,-28.766837,-21.57611,-14.67129,-17.141158,-21.538566,-17.526595,-12.203611,33.937248,58.713295,72.971581,83.115623,72.705082,90.512123,102.497646,111.742756,60.789345,81.952068,93.21262,101.4944,44.618717,62.813759,66.447338,67.702274,26.536137,40.322285,44.249634,45.613815,2.869832,17.766884,37.506175,51.555172,4.163114,29.920181,48.143548,62.581388,7.418195,39.733562,56.904055,69.76745,14.576241,48.048749,58.486057,62.332447,24.668246,51.604869,58.348798,60.195074,82.312494,104.893359,-156.124369,20.989869
